dismay	恐怖 [きょうふ]
dismember	切り放す [きりはなす]
dismember	切り放つ [きりはなつ]
dismiss	下げる [さげる]
dismiss	免じる [めんじる]
dismiss	断る [ことわる]
dismiss	断わる [ことわる]
dismissal	ご免 [ごめん]
dismissal	免 [めん]
dismissal	免官 [めんかん]
dismissal	免職 [めんしょく]
dismissal	免黜 [めんちゅつ]
dismissal	却下 [きゃっか]
dismissal	引導 [いんどう]
dismissal	御免 [ごめん]
dismissal	放逐 [ほうちく]
dismissal	棄却 [ききゃく]
dismissal	罷免 [ひめん]
dismissal	解任 [かいにん]
dismissal	解職 [かいしょく]
dismissal	解雇 [かいこ]
dismissal	首切り [くびきり]
dismissal	首斬り [くびきり]
dismissal	馘首 [かくしゅ]
disobedience	不従順 [ふじゅうじゅん]
disobedience	不服従 [ふふくじゅう]
disobedience	背馳 [はいち]
disobedience	違命 [いめい]
disobey	背く [そむく]
disobey	逆らう [さからう]
disorder	不同 [ふどう]
disorder	不調 [ふちょう]
disorder	乱れ [みだれ]
disorder	乱脈 [らんみゃく]
disorder	乱雑 [らんざつ]
disorder	混乱 [こんらん]
disorder	渾沌 [こんとん]
disorder	無秩序 [むちつじょ]
disorder	狂い [くるい]
disorder	狼藉 [ろうぜき]
disorder	猥雑 [わいざつ]
disorder	異常 [いじょう]
disorder	紊乱 [びんらん]
disorder	紊乱 [ぶんらん]
disorder	紛乱 [ふんらん]
disorder	紛然 [ふんぜん]
disorder	紛糾 [ふんきゅう]
disorderliness	雑然 [ざつぜん]
disorderly	不規則 [ふきそく]
disorderly	混雑した [こんざつした]
disorderly	雑然とした [ざつぜんとした]
disorientation	失見当 [しつけんとう]
disparage	扱き下ろす [こきおろす]
disparage	扱下ろす [こきおろす]
disparagement	罵倒 [ばとう]
disparagement	謗り [そしり]
disparity	不均等 [ふきんとう]
disparity	不均衡 [ふきんこう]
disparity	不等 [ふとう]
disparity	不釣り合い [ふつりあい]
disparity	不釣合い [ふつりあい]
disparity	差異 [さい]
disparity	格差 [かくさ]
disparity	軒輊 [けんち]
dispatch	ディスパッチ
dispatch	使わす [つかわす]
dispatch	依頼 [いらい]
dispatch	差遣 [さけん]
dispatch	急派 [きゅうは]
dispatch	急送 [きゅうそう]
dispatch	派遣 [はけん]
dispatch	発信 [はっしん]
dispatch	送る [おくる]
dispatch	送達 [そうたつ]
dispatch	遣う [つかう]
dispatch	遣わす [つかわす]
dispatcher	ディスパッチャ
dispatcher	ディスパッチャー
dispel	ディスペル
dispel	晴らす [はらす]
dispensary	医局 [いきょく]
dispensary	医院 [いいん]
dispensation	分与 [ぶんよ]
dispensation	分注 [ぶんちゅう]
dispensation	特免 [とくめん]
dispense	分かれる [わかれる]
dispenser	ディスペンサー
dispenser	分配者 [ぶんぱいしゃ]
dispersal	疎開 [そかい]
dispersal	離散 [りさん]
dispersal	飛散 [ひさん]
disperse	ばらばら
disperse	バラバラ
disperse	散らす [ちらす]
disperse	追い捲くる [おいまくる]
disperse	追い落とす [おいおとす]
disperse	雲散 [うんさん]
dispersion	ばらつき
dispersion	分散 [ぶんさん]
dispersion	散乱 [さんらん]
dispersion	消散 [しょうさん]
displacement	ディスプレースメント
displacement	排気量 [はいきりょう]
displacement	転移性 [てんいせい]
display	ディスプレイ
display	供覧 [きょうらん]
display	出品 [しゅっぴん]
display	出展 [しゅってん]
display	呈する [ていする]
display	展示 [てんじ]
display	振り回す [ふりまわす]
display	掲揚 [けいよう]
display	現す [あらわす]
display	現わす [あらわす]
