incomprehensible	訳が分らない [わけがわからない]
inconceivable	思いも寄らない [おもいもよらない]
incongruity	不調和 [ふちょうわ]
inconsiderate	心ない [こころない]
inconsiderate	心無い [こころない]
inconsistency	不条理 [ふじょうり]
inconsistency	矛盾 [むじゅん]
inconsistency	背馳 [はいち]
inconsistency	齟齬 [そご]
inconsistent	不合理 [ふごうり]
inconsistent	不徹底 [ふてってい]
inconsistent	支離滅裂 [しりめつれつ]
inconsistent	辻褄の合わない [つじつまのあわない]
inconstancy	不定 [ふじょう]
inconstancy	不定 [ふてい]
inconstancy	不実 [ふじつ]
inconstancy	変心 [へんしん]
inconstancy	心変わり [こころがわり]
inconstancy	性悪 [しょうわる]
inconstant	変わり易い [かわりやすい]
inconstant	無節操 [むせっそう]
inconstant	移り気 [うつりぎ]
incontinence	垂れ流し [たれながし]
incontinence	失禁 [しっきん]
incontinence	尻癖 [しりくせ]
incontrovertible	べからざる
incontrovertible	否めない [いなめない]
incontrovertible	否め無い [いなめない]
inconvenience	不便 [ふべん]
inconvenience	不勝手 [ふかって]
inconvenience	不自由 [ふじゆう]
inconvenience	不都合 [ふつごう]
inconvenience	困らせる [こまらせる]
inconvenient	不具合 [ふぐあい]
incorporate	盛り込む [もりこむ]
incorporation	合併 [がっぺい]
incorporation	合併 [ごうへい]
incorporation	合同 [ごうどう]
incorporation	挿入 [そうにゅう]
incorporation	編入 [へんにゅう]
incorporeal	霊的 [れいてき]
incorrigible	仕様のない [しようのない]
incorrigible	仕様の無い [しようのない]
incorrigible	度し難い [どしがたい]
incorrigible	性懲り [しょうこり]
incorruptible	廉潔 [れんけつ]
increase	上げる [あげる]
increase	付く [つく]
increase	倍 [ばい]
increase	加 [か]
increase	加える [くわえる]
increase	加わる [くわわる]
increase	加増 [かぞう]
increase	増える [ふえる]
increase	増す [ます]
increase	増やし [ふやし]
increase	増やす [ふやす]
increase	増加 [ぞうか]
increase	増強 [ぞうきょう]
increase	増殖 [ぞうしょく]
increase	増進 [ぞうしん]
increase	嵩む [かさむ]
increase	殖える [ふえる]
increase	殖やす [ふやす]
increase	繁殖 [はんしょく]
increase	膨張 [ぼうちょう]
increase	膨脹 [ぼうちょう]
increase	蕃殖 [はんしょく]
increasingly	愈 [ゆ]
increasingly	愈々 [いよいよ]
increasingly	愈愈 [いよいよ]
increasingly	益々 [ますます]
increasingly	益益 [ますます]
incredible	すげい
incredible	桁外れ [けたはずれ]
incredible	珍無類 [ちんむるい]
incredulous	半信半疑 [はんしんはんぎ]
incredulous	疑い深い [うたがいぶかい]
increment	インクリメント
increment	刻み値 [きざみち]
increment	増加分 [ぞうかぶん]
increment	差分 [さぶん]
increment	生長 [せいちょう]
incremental	インクリメンタル
incremental	増分 [ぞうぶん]
incubate	インキュベート
incubate	孵す [かえす]
incubation	インキュベーション
incubation	孵化 [ふか]
incubation	孵卵 [ふらん]
incubation	抱卵 [ほうらん]
incubation	潜伏 [せんぷく]
incubator	インキュベータ
incubator	インキュベーター
incubator	保育器 [ほいくき]
incubator	孵化器 [ふかき]
incubator	孵卵器 [ふらんき]
incubator	恒温器 [こうおんき]
incursion	入寇 [にゅうこう]
indebtedness	負い目 [おいめ]
indecency	下品 [げひん]
indecency	不体裁 [ふていさい]
indecent	エッチ
indecent	厭やらしい [いやらしい]
indecent	嫌らしい [いやらしい]
indecent	尾籠 [びろう]
indecent	見っともない [みっともない]
indecent	鄙猥 [ひわい]
indecision	不決断 [ふけつだん]
indecision	付かず離れず [つかずはなれず]
indecision	因循 [いんじゅん]
indecision	狐疑 [こぎ]
indecision	躊躇 [ちゅうちょ]
indecision	迷い [まよい]
indecision	逡巡 [しゅんじゅん]
indecisive	不明確 [ふめいかく]
indecisive	煮え切らない [にえきらない]
indecisiveness	ぐらぐら
indecisiveness	優柔 [ゆうじゅう]
indecisiveness	優柔不断 [ゆうじゅうふだん]
indeed	佐様 [さよう]
indeed	何様 [なにさま]
indeed	全く [まったく]
indeed	千万 [せんばん]
indeed	千万 [ちよろず]
indeed	如何にも [いかにも]
indeed	実に [じつに]
indeed	成る程 [なるほど]
indeed	成程 [なるほど]
indeed	真に [まことに]
indeed	誠に [まことに]
indeed	道理で [どうりで]
indefinite	不定 [ふじょう]
indefinite	不定 [ふてい]
indefinite	不徹底 [ふてってい]
indefinite	不特定 [ふとくてい]
indefinite	不確か [ふたしか]
indefinite	不確定 [ふかくてい]
indefinite	有耶無耶 [うやむや]
indefinite	無期 [むき]
indefinite	無期限 [むきげん]
indefinitely	何時までも [いつまでも]
indefinitely	何時何時までも [いついつまでも]
indelicate	尾籠 [びろう]
indemnification	代償 [だいしょう]
indemnify	償う [つぐなう]
indemnity	償い [つぐない]
indemnity	報償 [ほうしょう]
indemnity	弁償 [べんしょう]
indemnity	弁償金 [べんしょうきん]
indemnity	賠償 [ばいしょう]
indent	インデント
indent	凹ます [へこます]
indent	凹ませる [へこませる]
indentation	インデンテイション
indentation	インデンテーション
indentation	圧入 [あつにゅう]
indentation	屈折 [くっせつ]
indenture	年期奉公 [ねんきぼうこう]
independence	一本立ち [いっぽんだち]
independence	不偏不党 [ふへんふとう]
independence	不羇 [ふき]
independence	不羈 [ふき]
independence	主体性 [しゅたいせい]
independence	分立 [ぶんりつ]
independence	単独 [たんどく]
independence	特立 [とくりつ]
independence	独立性 [どくりつせい]
independence	自主 [じしゅ]
independence	自主性 [じしゅせい]
independence	自立 [じりつ]
independent	インディペンデント
independent	無所属 [むしょぞく]
independent	自主的 [じしゅてき]
independent	自営 [じえい]
independently	単独で [たんどくで]
indescribable	言い知れぬ [いいしれぬ]
indescribable	言うに言われぬ [いうにいわれぬ]
indestructible	不変 [ふへん]
indestructible	不滅 [ふめつ]
indeterminate	不定期 [ふていき]
index	インデックス
index	指数 [しすう]
index	指標 [しひょう]
index	索引 [さくいん]
index	総目録 [そうもくろく]
index	表題 [ひょうだい]
index	見出し [みだし]
indexation	インデクサーション
indexing	インデキシング
indicate	指し示す [さししめす]
indicate	物語る [ものがたる]
indicate	現す [あらわす]
indicate	現わす [あらわす]
indicate	示す [しめす]
indication	兆 [ちょう]
indication	兆候 [ちょうこう]
indication	徴候 [ちょうこう]
indication	指示 [しじ]
indication	気振り [けぶり]
