clink	かちん
clip	クリップ
clip	切る [きる]
clip	刈 [かり]
clip	刈り込む [かりこむ]
clip	刈る [かる]
clip	剪 [せん]
clip	剪み切る [はさみきる]
clip	剪む [はさむ]
clip	挟み切る [はさみきる]
clipboard	掲示板 [けいじばん]
clipper	クリッパー
clique	一党 [いっとう]
clique	同人 [どうじん]
clique	同人 [どうにん]
clique	徒党 [ととう]
clique	朋党 [ほうとう]
clique	派 [は]
clique	閥 [ばつ]
clique	閥族 [ばつぞく]
clitoris	クリちゃん
clitoris	クリトリス
clitoris	肉刺 [まめ]
clitoris	陰核 [いんかく]
cloak	マント
cloak	外套 [がいとう]
cloakroom	クローク
cloakroom	クロークルーム
cloakroom	一時預所 [いちじあずかりしょ]
cloakroom	一時預所 [いちじあずかりじょ]
cloakroom	預かり所 [あずかりしょ]
cloakroom	預かり所 [あずかりじょ]
clock	クロック
clock	時計 [とけい]
clockwise	右巻 [みぎまき]
clockwise	右巻き [みぎまき]
clockwork	時計仕掛け [とけいじかけ]
clod	土塊 [つちくれ]
clod	土塊 [どかい]
clod	塊 [かたまり]
clod	塊まり [かたまり]
clog	おもり
cloisonne	七宝 [しっぽう]
cloister	修道院 [しゅうどういん]
clone	クローン
close	きつい
close	クローズ
close	丁寧 [ていねい]
close	仕舞う [しまう]
close	仲がいい [なかがいい]
close	側 [そく]
close	側 [そば]
close	側 [はた]
close	傍 [そば]
close	傍 [はた]
close	切り上げる [きりあげる]
close	切上げる [きりあげる]
close	危うい [あやうい]
close	危ない [あぶない]
close	危なっかしい [あぶなっかしい]
close	厳密 [げんみつ]
close	叮嚀 [ていねい]
close	大切り [おおぎり]
close	密接 [みっせつ]
close	引ける [ひける]
close	打ち上げる [うちあげる]
close	打ち出す [うちだす]
close	打ち切り [うちきり]
close	打ち切る [うちきる]
close	暮れる [くれる]
close	末 [すえ]
close	末葉 [すえば]
close	末葉 [ばつよう]
close	末葉 [まつよう]
close	深い [ふかい]
close	目の詰んだ [めのつんだ]
close	窄む [つぼむ]
close	精密 [せいみつ]
close	終る [おわる]
close	終わる [おわる]
close	終了 [しゅうりょう]
close	終局 [しゅうきょく]
close	終幕 [しゅうまく]
close	終結 [しゅうけつ]
close	結尾 [けつび]
close	閉ざす [とざす]
close	閉まる [しまる]
close	閉める [しめる]
close	際どい [きわどい]
close	際疾い [きわどい]
closely	ぴたりと
closely	べったり
closely	ぺったり
closeness	緊密 [きんみつ]
closet	クロゼット
closet	クローゼット
closet	収納家具 [しゅうのうかぐ]
closet	戸棚 [とだな]
closet	押し入れ [おしいれ]
closet	押し込み [おしこみ]
closet	押入 [おしいれ]
closet	押入れ [おしいれ]
closet	納戸 [なんど]
closing	〆切 [しめきり]
closing	〆切り [しめきり]
closing	お仕舞い [おしまい]
closing	御仕舞い [おしまい]
closing	最終 [さいしゅう]
closing	終期 [しゅうき]
closing	締め切り [しめきり]
closing	締切 [しめきり]
closing	締切り [しめきり]
closing	閉まり [しまり]
closing	閉鎖 [へいさ]
closure	クロージャ
closure	閉会 [へいかい]
closure	閉塞 [へいそく]
closure	閉鎖 [へいさ]
clot	凝り固まる [こりかたまる]
clot	凝固まり [こりかたまり]
clot	凝塊 [ぎょうかい]
clot	血餅 [けっぺい]
cloth	切れ [きれ]
cloth	切れ地 [きれじ]
