labourer	工夫 [こうふ]
labyrinth	ラビリンス
labyrinth	八幡の薮知らず [やわたのやぶしらず]
labyrinth	八幡知らず [やわたしらず]
labyrinth	迷宮 [めいきゅう]
labyrinth	迷路 [めいろ]
laceration	裂傷 [れっしょう]
lacework	レース編み [レースあみ]
lack	不足 [ふそく]
lack	事欠く [ことかく]
lack	欠 [けつ]
lack	欠く [かく]
lack	欠如 [けつじょ]
lack	貧困 [ひんこん]
lacquer	ラッカー
lacquer	塗る [ぬる]
lacquer	漆 [うるし]
lacquerware	塗り物 [ぬりもの]
lacquerware	塗物 [ぬりもの]
lacrosse	ラクロス
lactation	保育 [ほいく]
lactation	哺乳 [ほにゅう]
lactation	哺育 [ほいく]
lactose	ラクトーゼ
lactose	乳糖 [にゅうとう]
lacuna	脱文 [だつぶん]
lad	兄ちゃん [あんちゃん]
lad	若者 [わかもの]
lad	豎子 [じゅし]
ladder	梯子 [ていし]
ladder	梯子 [はしご]
ladder	階梯 [かいてい]
lading	積載 [せきさい]
lading	船積み [ふなづみ]
lading	荷足 [にあし]
ladle	お玉 [おたま]
ladle	お玉杓子 [おたまじゃくし]
ladle	勺 [しゃく]
ladle	御玉 [おたま]
ladle	御玉杓子 [おたまじゃくし]
ladle	杓 [しゃく]
ladle	杓文字 [しゃもじ]
ladle	柄杓 [ひしゃく]
ladle	汲む [くむ]
ladle	蝌蚪 [おたまじゃくし]
ladle	蝌蚪 [かと]
lady	レディ
lady	レディー
lady	刀自 [とうじ]
lady	刀自 [とじ]
lady	奥方 [おくがた]
lady	小母さん [おばさん]
lady	淑女 [しゅくじょ]
lady	貴女 [あなた]
lady	貴女 [きじょ]
lady	貴婦人 [きふじん]
ladybird	天道虫 [てんとうむし]
ladybird	瓢虫 [てんとうむし]
ladylike	女らしい [おんならしい]
lag	後れ [おくれ]
lag	遅れ [おくれ]
lagoon	海跡湖 [かいせきこ]
lagoon	潟 [かた]
lagoon	潟湖 [せきこ]
lagoon	鹹湖 [かんこ]
laissez-faire	自由放任 [じゆうほうにん]
laity	信徒 [しんと]
laity	平信徒 [ひらしんと]
laity	平信徒 [へいしんと]
lake	レーク
lake	沼 [ぬま]
lake	湖 [みずうみ]
lake	湖水 [こすい]
lakeshore	湖岸 [こがん]
lakeside	湖岸 [こがん]
lama	喇嘛 [らま]
lamb	ラム
lamb	仔羊 [こひつじ]
lamb	子羊 [こひつじ]
lamb	小羊 [こひつじ]
lambast	扱き下ろす [こきおろす]
lambast	扱下ろす [こきおろす]
lambda	ラムダ
lambskin	ラムスキン
lame	お粗末 [おそまつ]
lame	御粗末 [おそまつ]
lame	跛 [びっこ]
lament	哀悼 [あいとう]
lament	嘆く [なげく]
lament	悼む [いたむ]
lament	愁える [うれえる]
lament	憂える [うれえる]
lament	歎じる [たんじる]
lament	歎ずる [たんずる]
lamentable	惜しむべき [おしむべき]
lamentation	号泣 [ごうきゅう]
lamentation	哀哭 [あいこく]
lamentation	嗟嘆 [さたん]
lamentation	嗟歎 [さたん]
lamentation	嘆き [なげき]
lamentation	悲嘆 [ひたん]
lamentation	悲歎 [ひたん]
lamentation	愁嘆 [しゅうたん]
lamentation	愁歎 [しゅうたん]
lamentation	慟哭 [どうこく]
lamentation	歎 [たん]
lamentation	歎き [なげき]
lamentation	痛哭 [つうこく]
laminate	ラミネート
laminate	薄板 [うすいた]
lamp	ランプ
lamplight	明かり [あかり]
lamplight	明り [あかり]
lamplight	灯光 [とうこう]
lamplight	灯火 [とうか]
lampoon	落首 [らくしゅ]
lampoon	諷刺 [ふうし]
lance	ランス
lance	銛 [もり]
lance	香車 [きょうしゃ]
lancer	ランサー
lancer	槍騎兵 [そうきへい]
lancet	刃針 [はばり]
land	ランド
land	陸 [りく]
land	陸上 [りくじょう]
land	陸地 [りくち]
land	陸岸 [りくがん]
landfall	地滑り [じすべり]
landing	ランディング
landing	上がり場 [あがりば]
landing	上陸 [じょうりく]
landing	揚陸 [ようりく]
landing	水揚げ [みずあげ]
landing	着地 [ちゃくち]
landing	着陸 [ちゃくりく]
landing	荷揚げ [にあげ]
landing	陸揚げ [りくあげ]
landlady	内儀 [ないぎ]
landlady	大家 [おおや]
landlady	大家さん [おおやさん]
landlady	大屋 [おおや]
landlady	大屋さん [おおやさん]
