immunity	免疫性 [めんえきせい]
immunization	予防接種 [よぼうせっしゅ]
immunization	予防注射 [よぼうちゅうしゃ]
immunization	免疫 [めんえき]
immutable	不変 [ふへん]
immutable	不易 [ふえき]
imp	邪鬼 [じゃき]
impact	インパクト
impact	弾着 [だんちゃく]
impact	振盪 [しんとう]
impact	衝撃 [しょうげき]
impact	震動 [しんどう]
impair	傷める [いためる]
impair	弱る [よわる]
impairment	侵害 [しんがい]
impart	伝える [つたえる]
impartial	公平 [こうへい]
impartiality	一様 [いちよう]
impartiality	一視同人 [いっしどうじん]
impartiality	一視同仁 [いっしどうじん]
impartiality	不偏 [ふへん]
impartiality	不偏不党 [ふへんふとう]
impartiality	中正 [ちゅうせい]
impartiality	公平無私 [こうへいむし]
impartiality	公正 [こうせい]
impartiality	厳正 [げんせい]
impartiality	平等 [びょうどう]
impartiality	虚心 [きょしん]
impasse	行き詰まり [いきづまり]
impasse	行き詰まり [ゆきづまり]
impasse	行き詰り [いきづまり]
impasse	行き詰り [ゆきづまり]
impasse	行詰り [いきづまり]
impasse	行詰り [ゆきづまり]
impatience	性急 [せいきゅう]
impatience	焦り [あせり]
impatience	焦心 [しょうしん]
impatience	焦慮 [しょうりょ]
impatience	焦燥 [しょうそう]
impatience	焦躁 [しょうそう]
impatient	せっかち
impatient	やきもき
impatient	歯がゆい [はがゆい]
impatient	歯痒い [はがゆい]
impatient	気早 [きばや]
impatient	気短 [きみじか]
impatient	焦れったい [じれったい]
impatiently	今や遅しと [いまやおそしと]
impeachment	弾劾 [だんがい]
impedance	インピーダンス
impedance	インペーダンス
impediment	差し支え [さしつかえ]
impediment	差支え [さしつかえ]
impediment	支障 [ししょう]
impediment	沮害 [そがい]
impel	駆る [かる]
impending	当面 [とうめん]
impending	逼迫 [ひっぱく]
impenetrability	不可入性 [ふかにゅうせい]
imperfect	不充分 [ふじゅうぶん]
imperfect	不全 [ふぜん]
imperfect	不十分 [ふじゅうぶん]
imperfect	不完全 [ふかんぜん]
imperfect	至らない [いたらない]
imperfection	不備 [ふび]
imperial	インペリアル
imperial	上 [じょう]
imperial	天 [あまつ]
imperial	帝国 [ていこく]
imperialism	勤王 [きんのう]
imperialism	勤皇 [きんのう]
imperialism	帝制 [ていせい]
imperialism	帝国主義 [ていこくしゅぎ]
imperialism	帝政 [ていせい]
imperialistic	帝国主義的 [ていこくしゅぎてき]
imperious	権柄尽く [けんぺいづく]
imperious	鼻息が荒い [はないきがあらい]
imperishable	不朽 [ふきゅう]
impersonal	没個性的 [ぼつこせいてき]
impersonal	非人間的 [ひにんげんてき]
impersonate	成り済ます [なりすます]
impersonation	人格化 [じんかくか]
impersonation	体現 [たいげん]
impersonation	化身 [けしん]
impertinence	失敬 [しっけい]
impertinence	烏滸の沙汰 [おこのさた]
impertinence	猪口才 [ちょこざい]
impertinent	差し出がましい [さしでがましい]
impertinent	洒落臭い [しゃらくくさい]
impertinent	洒落臭い [しゃらくさい]
impertinent	烏滸がましい [おこがましい]
impertinent	生意気 [なまいき]
imperturbability	不動心 [ふどうしん]
imperturbability	泰然自若 [たいぜんじじゃく]
imperturbable	泰然自若たる [たいぜんじじゃくたる]
impervious	無感覚 [むかんかく]
impetuously	せかせか
impetuousness	短兵急 [たんぺいきゅう]
impetus	余勢 [よせい]
impetus	切っ掛け [きっかけ]
impetus	切掛 [きっかけ]
impetus	刺戟 [しげき]
impetus	刺激 [しげき]
impetus	勢 [はずみ]
impetus	勢い [いきおい]
impetus	調子 [ちょうし]
impetus	運動力 [うんどうりょく]
impiety	不信仰 [ふしんこう]
impiety	不信心 [ふしんじん]
impiety	不敬 [ふけい]
impiety	不敬虔 [ふけいけん]
impish	いたずらっぽい
implant	注ぎ込む [そそぎこむ]
implant	注ぎ込む [つぎこむ]
implantation	着床 [ちゃくしょう]
implantation	移植 [いしょく]
implement	インプリメント
implement	インプレメント
implement	器財 [きざい]
implement	工具 [こうぐ]
implement	道具 [どうぐ]
implementation	インプリメンテイション
implementation	インプリメンテーション
implementation	実現 [じつげん]
implementation	実用化 [じつようか]
implementation	実装 [じっそう]
implementation	履行 [りこう]
implication	インプリケーション
implication	係累 [けいるい]
implication	内含 [ないがん]
implication	包含 [ほうがん]
implication	包容 [ほうよう]
implication	同坐 [どうざ]
implication	同座 [どうざ]
implication	含み [ふくみ]
implication	含意 [がんい]
implication	含蓄 [がんちく]
implication	意味合い [いみあい]
implication	累 [るい]
implication	連累 [れんるい]
implicit	暗黙 [あんもく]
implicit	言外 [げんがい]
implicitly	暗に [あんに]
implore	拝み倒す [おがみたおす]
implore	願う [ねがう]
impolite	無礼 [ぶれい]
import	インポート
import	内容 [ないよう]
import	輸入 [ゆにゅう]
importance	力点 [りきてん]
importance	枢要 [すうよう]
importance	肝要 [かんよう]
importance	重き [おもき]
importance	重み [おもみ]
importance	重味 [おもみ]
importance	重大性 [じゅうだいせい]
importance	重要性 [じゅうようせい]
importance	重視 [じゅうし]
important	インポータント
important	主 [おも]
important	主なる [おもなる]
important	主立った [おもだった]
important	大した [たいした]
important	大事 [おおごと]
important	大事 [だいじ]
important	大切 [たいせつ]
important	意義深い [いぎぶかい]
important	目ぼしい [めぼしい]
important	目抜き [めぬき]
important	緊要 [きんよう]
important	重 [おも]
important	重い [おもい]
important	重たい [おもたい]
important	重なる [おもなる]
important	重大 [じゅうだい]
important	重立った [おもだった]
important	重立つ [おもだつ]
important	重要 [じゅうよう]
importation	渡来 [とらい]
importation	移入 [いにゅう]
importation	舶載 [はくさい]
importation	輸入 [ゆにゅう]
importer	輸入業者 [ゆにゅうぎょうしゃ]
importunate	五月蝿い [うるさい]
importunate	執拗 [しつよう]
