discreet	慎み深い [つつしみぶかい]
discrepancy	不一致 [ふいっち]
discrepancy	懸隔 [けんかく]
discrepancy	相違 [そうい]
discrepancy	違い [ちがい]
discrepancy	食い違い [くいちがい]
discrepancy	食違い [くいちがい]
discrepancy	齟齬 [そご]
discrete	細心 [さいしん]
discretion	任意 [にんい]
discretion	分別 [ふんべつ]
discretion	慎み [つつしみ]
discretion	慎重 [しんちょう]
discretion	戒慎 [かいしん]
discretion	手心 [てごころ]
discretion	物心 [ものごころ]
discretion	裁量 [さいりょう]
discriminate	差を付ける [さをつける]
discriminate	弁える [わきまえる]
discriminate	弁じる [べんじる]
discriminate	弁ずる [べんずる]
discriminate	弁別 [べんべつ]
discrimination	偏頗 [へんぱ]
discrimination	分かち [わかち]
discrimination	分け隔て [わけへだて]
discrimination	分別 [ふんべつ]
discrimination	分別 [ぶんべつ]
discrimination	分別心 [ふんべつしん]
discrimination	判別 [はんべつ]
discrimination	別ち [わかち]
discrimination	差別 [さべつ]
discrimination	弁 [べん]
discrimination	眼識 [がんしき]
discrimination	被差別 [ひさべつ]
discrimination	見境 [みさかい]
discrimination	識別 [しきべつ]
discrimination	識別力 [しきべつりょく]
discrimination	鑑別 [かんべつ]
discrimination	鑑識 [かんしき]
discus	円盤 [えんばん]
discuss	話し合う [はなしあう]
discuss	論じる [ろんじる]
discuss	論ずる [ろんずる]
discussion	ディスカッション
discussion	付議 [ふぎ]
discussion	会談 [かいだん]
discussion	協議 [きょうぎ]
discussion	商量 [しょうりょう]
discussion	座談 [ざだん]
discussion	弁論 [べんろん]
discussion	法案審議 [ほうあんしんぎ]
discussion	相談 [そうだん]
discussion	言論 [げんろん]
discussion	討論 [とうろん]
discussion	討議 [とうぎ]
discussion	評議 [ひょうぎ]
discussion	詮議 [せんぎ]
discussion	話し合い [はなしあい]
discussion	話合い [はなしあい]
discussion	談論 [だんろん]
discussion	論 [ろん]
discussion	論議 [ろんぎ]
discussion	議論 [ぎろん]
disdain	侮る [あなずる]
disdain	侮る [あなどる]
disdain	侮蔑 [ぶべつ]
disdain	卑しむ [いやしむ]
disdain	指弾 [しだん]
disdain	軽べつ [けいべつ]
disdain	軽蔑 [けいべつ]
disease	疾患 [しっかん]
disease	疾病 [しっぺい]
disease	病 [やまい]
disease	病患 [びょうかん]
disease	病気 [びょうき]
disease	病魔 [びょうま]
disembarkation	上陸 [じょうりく]
disenfranchisement	失権 [しっけん]
disfavour	不首尾 [ふしゅび]
disfigurement	片輪 [かたわ]
disgorge	吐く [つく]
disgorge	吐く [はく]
disgorge	吐出 [としゅつ]
disgrace	不名誉 [ふめいよ]
disgrace	不評 [ふひょう]
disgrace	不評判 [ふひょうばん]
disgrace	不面目 [ふめんぼく]
disgrace	不面目 [ふめんもく]
disgrace	不首尾 [ふしゅび]
disgrace	凌辱 [りょうじょく]
disgrace	失体 [しったい]
disgrace	失態 [しったい]
disgrace	屈辱 [くつじょく]
disgrace	恥さらし [はじさらし]
disgrace	恥晒し [はじさらし]
