first	随一 [ずいいち]
first-class	ぱりぱり
first-class	ファーストクラス
first-class	一流 [いちりゅう]
first-class	一等 [いっとう]
first-class	一級 [いっきゅう]
first-class	上等 [じょうとう]
first-class	甲種 [こうしゅ]
first-class	第一流 [だいいちりゅう]
first-rate	この上ない [このうえない]
first-rate	極上 [ごくじょう]
firstborn	初生 [しょせい]
firsthand	直接 [ちょくせつ]
fish	フィッシュ
fish	釣る [つる]
fish	銀鱗 [ぎんりん]
fish	魚 [うお]
fish	魚 [さかな]
fish	魚族 [ぎょぞく]
fisher	漁夫 [ぎょふ]
fisherman	海人 [あま]
fisherman	漁師 [りょうし]
fisherman	蜑 [あま]
fisherman	釣り手 [つりて]
fishery	漁労 [ぎょろう]
fishery	漁区 [ぎょく]
fishing	フィッシング
fishing	吊り [つり]
fishing	漁 [りょう]
fishing	漁り [あさり]
fishing	漁労 [ぎょろう]
fishing	漁撈 [ぎょろう]
fishing	漁獲 [ぎょかく]
fishing	釣 [つり]
fishing	釣り [つり]
fishing	釣魚 [ちょうぎょ]
fishing	魚つり [うおつり]
fishing	魚つり [さかなつり]
fishing	魚釣り [うおつり]
fishing	魚釣り [さかなつり]
fishy	胡乱 [うろん]
fission	分体 [ぶんたい]
fissure	ひび割れ [ひびわれ]
fissure	亀裂 [きれつ]
fissure	割れる [われる]
fissure	割れ目 [われめ]
fissure	割目 [われめ]
fissure	破目 [われめ]
fissure	罅割れ [ひびわれ]
fist	拳 [こぶし]
fist	拳固 [げんこ]
fist	拳骨 [げんこつ]
fist	鉄拳 [てっけん]
fisticuffs	挌闘 [かくとう]
fit	フィット
fit	合う [あう]
fit	填まる [はまる]
fit	填る [はまる]
fit	好適 [こうてき]
fit	嵌まる [はまる]
fit	嵌る [はまる]
fit	忠実 [まめ]
fit	激発 [げきはつ]
fit	発作 [ほっさ]
fit	適する [てきする]
fitful	発作的 [ほっさてき]
fitness	フィットネス
fitness	相応 [そうおう]
fitness	適否 [てきひ]
fitness	適当 [てきとう]
fitting	フィッティング
fitting	取り付け [とりつけ]
fitting	好適 [こうてき]
fitting	据え付け [すえつけ]
fitting	着付け [きつけ]
five	五 [ご]
five	五つ [いつつ]
fivefold	五重 [いつえ]
fivefold	五重 [ごじゅう]
fix	フィクス
fix	フィックス
fix	卜う [うらなう]
fix	卜する [ぼくする]
fix	治す [なおす]
fix	直す [なおす]
fix	繕う [つくろう]
fixation	凝視 [ぎょうし]
fixation	固定 [こてい]
fixation	固着 [こちゃく]
fixedly	じっと
fixer	フィクサー
fixing	卜 [ぼく]
fixing	着装 [ちゃくそう]
fixture	造り付け [つくりつけ]
fizzle	不首尾 [ふしゅび]
fjord	フィヨルド
fjord	峡湾 [きょうわん]
flab	贅肉 [ぜいにく]
flabby	ぐにゃぐにゃ
flaccid	弛緩 [しかん]
flaccid	弛緩 [ちかん]
flag	フラグ
flag	フラッグ
flag	一旗 [ひとはた]
flag	幟 [のぼり]
flag	旗 [はた]
flag	旗幟 [きし]
flagellum	鞭毛 [べんもう]
flageolet	篳篥 [ひちりき]
flageolet	銀笛 [ぎんてき]
flagpole	旗竿 [はたざお]
flagship	旗艦 [きかん]
flair	閃き [ひらめき]
flak	対空砲火 [たいくうほうか]
flake	フレーク
flake	一枚 [ひとひら]
flake	一片 [ひとひら]
flake	剥片 [はくへん]
flake	薄片 [はくへん]
flaky	頼りない [たよりない]
flaky	頼り無い [たよりない]
flambeau	松明 [たいまつ]
flame	光炎 [こうえん]
flame	火 [ひ]
flame	火炎 [かえん]
flame	火焔 [かえん]
flame	炎 [ほのお]
flame	炎 [ほむら]
flame	炎光 [えんこう]
flame	焔 [ほのお]
flame	焔 [ほむら]
flamenco	フラメンコ
flank	側背 [そくはい]
flank	側面 [そくめん]
flank	横っ腹 [よこっぱら]
flank	横合い [よこあい]
flank	横腹 [よこばら]
flank	脇腹 [わきばら]
flannel	フラノ
flannel	フランネル
flap	フラップ
flap	扇ぐ [あおぐ]
flap	折り返し [おりかえし]
flap	煽ぐ [あおぐ]
flapper	フラッパー
flapper	伊達女 [だておんな]
flapper	侠 [きゃん]
flapping	バタバタ
flare	フレア
flare	フレアー
flare-up	かんかん
flash	一閃 [いっせん]
flash	石火 [せっか]
flash	紫電 [しでん]
flash	閃かす [ひらめかす]
flash	閃き [ひらめき]
flash	閃光 [せんこう]
flashback	フラッシュバック
flashlight	フラッシュライト
flashlight	懐中電灯 [かいちゅうでんとう]
flashy	派手 [はで]
flask	フラスコ
flask	水筒 [すいとう]
flat	フラット
flat	偏平 [へんぺい]
flat	平たい [ひらたい]
flat	平たん [ひらたん]
flat	平坦 [へいたん]
flat	平滑 [へいかつ]
flatboat	高瀬舟 [たかせぶね]
flatfish	平目 [ひらめ]
flatfish	鮃 [ひらめ]
flatfish	鰈 [かれい]
flatfoot	扁平足 [へんぺいそく]
flatness	平ら [たいら]
flatness	扁平 [へんぺい]
flatten	圧し潰す [おしつぶす]
flatten	押しつぶす [おしつぶす]
flatten	押し潰す [おしつぶす]
flatten	突き崩す [つきくずす]
flatten	突崩す [つきくずす]
flatter	付き従う [つきしたがう]
flatter	付き随う [つきしたがう]
flatter	媚びる [こびる]
flatter	担ぎ上げる [かつぎあげる]
flatter	持ち上げる [もちあげる]
flatter	煽てる [おだてる]
flatter	諂う [へつらう]
flatter	阿ねる [おもねる]
flatter	阿る [おもねる]
flatterer	上手者 [じょうずもの]
flatterer	佞人 [ねいじん]
flatterer	幇間 [たいこもち]
flatterer	幇間 [ほうかん]
flatterer	胡麻すり [ごますり]
flatterer	茶坊主 [ちゃぼうず]
flattery	おべっか
flattery	おべんちゃら
flattery	お世辞 [おせじ]
flattery	世辞 [せじ]
