clay	陶磁 [とうじ]
clean	さっぱりした
clean	クリーン
clean	奇麗 [きれい]
clean	清らか [きよらか]
clean	清浄 [しょうじょう]
clean	清浄 [せいじょう]
clean	清潔 [せいけつ]
clean	綺麗 [きれい]
cleaner	クリーナー
cleaner	掃除人 [そうじにん]
cleaning	クリーニング
cleaning	後片付け [あとかたづけ]
cleaning	拭き掃除 [ふきそうじ]
cleaning	掃除 [そうじ]
cleaning	洗い濯ぎ [あらいすすぎ]
cleaning	洗浄 [せんじょう]
cleaning	洗滌 [せんじょう]
cleaning	洗滌 [せんでき]
cleaning	清掃 [せいそう]
cleanness	透明 [とうめい]
cleanse	洗い清める [あらいきよめる]
cleanse	清める [きよめる]
cleanser	クレンザー
cleanup	浄化 [じょうか]
clear	ありあり
clear	すかっと
clear	すっきり
clear	すっきりと
clear	クリア
clear	クリアー
clear	亮然たる [りょうぜんたる]
clear	判然 [はんぜん]
clear	判然たる [はんぜんたる]
clear	劃然 [かくぜん]
clear	平明 [へいめい]
clear	截然たる [せつぜんたる]
clear	明らか [あきらか]
clear	明亮 [めいりょう]
clear	明晰 [めいせき]
clear	明朗 [めいろう]
clear	昭々たる [しょうしょうたる]
clear	昭昭たる [しょうしょうたる]
clear	昭然たる [しょうぜんたる]
clear	晴れ晴れしい [はればれしい]
clear	晴朗 [せいろう]
clear	朗々 [ろうろう]
clear	朗朗 [ろうろう]
clear	歴々たる [れきれきたる]
clear	歴とした [れっきとした]
clear	歴歴たる [れきれきたる]
clear	歴然たる [れきぜんたる]
clear	清い [きよい]
clear	清ます [すます]
clear	清澄 [せいちょう]
clear	澄ます [すます]
clear	爽やか [さわやか]
clear	玲瓏 [れいろう]
clear	玲瓏たる [れいろうたる]
clear	白白 [はくはく]
clear	透徹した [とうてつした]
clear	飛び越える [とびこえる]
clear	鮮やか [あざやか]
clear	鮮明 [せんめい]
clear	鮮鋭 [せんえい]
clear-cut	劃然たる [かくぜんたる]
clear-cut	是々非々 [ぜぜひひ]
clear-cut	是是非非 [ぜぜひひ]
clear-cut	画然 [かくぜん]
clear-cut	画然たる [かくぜんたる]
clearance	クリアランス
clearance	蔵払い [くらばらい]
clearing	造成 [ぞうせい]
clearly	ありありと
clearly	きっぱり
clearly	きっぱりと
clearly	くっきり
clearly	はっきり
clearly	まざまざと
clearly	判然と [はんぜんと]
clearly	明々と [あかあかと]
clearly	明明と [あかあかと]
clearly	赤々と [あかあかと]
clearly	赤赤と [あかあかと]
clearness	分明 [ふんみょう]
clearness	分明 [ぶんみょう]
clearness	分明 [ぶんめい]
clearness	融朗 [ゆうろう]
clearness	輝度 [きど]
clearness	透徹 [とうてつ]
cleave	割く [さく]
cleave	割れる [われる]
cleaver	クリーヴァ
clemency	助命 [じょめい]
clench	食い合わす [くいあわす]
clergy	聖職者 [せいしょくしゃ]
clergyman	牧師 [ぼくし]
clergyman	聖職者 [せいしょくしゃ]
cleric	クレリック
clerk	事務員 [じむいん]
clerk	事務屋 [じむや]
clerk	官吏 [かんり]
clerk	局員 [きょくいん]
clerk	店員 [てんいん]
clerk	書記 [しょき]
clever	まいう
clever	俐 [り]
clever	俐巧 [りこう]
clever	利口 [りこう]
clever	味な [あじな]
clever	如才 [じょさい]
clever	如才ない [じょさいない]
clever	如才無い [じょさいない]
clever	小利口 [こりこう]
clever	小気味よい [こきみよい]
clever	小賢しい [こざかしい]
clever	巧妙 [こうみょう]
clever	悧巧 [りこう]
clever	慧敏 [けいびん]
clever	捷い [はしこい]
clever	捷い [はしっこい]
clever	敏捷い [はしこい]
clever	敏捷い [はしっこい]
clever	旨い [うまい]
clever	気の利いた [きのきいた]
