combo	コンボ
combustion	燃焼 [ねんしょう]
come	いく
come	いらっしゃる
come	さあ
come	さあさあ
come	らっしゃる
come	参らせる [まいらせる]
come	参る [まいる]
come	来たる [きたる]
come	来る [きたる]
come	至る [いたる]
comeback	カムバック
comeback	再起 [さいき]
comeback	復帰 [ふっき]
comedian	コメディアン
comedian	万才 [まんざい]
comedian	三枚目 [さんまいめ]
comedian	漫才 [まんざい]
comedy	コメディ
comedy	コメディー
comedy	三枚 [さんまい]
comedy	喜劇 [きげき]
comedy	戯け芝居 [おどけしばい]
comet	コメット
comet	帚星 [ほうきぼし]
comet	彗星 [すいせい]
comet	彗星 [ほうきぼし]
comet	箒星 [ほうきぼし]
comfort	安楽 [あんらく]
comfort	安気 [あんき]
comfort	居心地 [いごこち]
comfort	慰み [なぐさみ]
comfort	慰む [なぐさむ]
comfort	慰め [なぐさめ]
comfort	慰める [なぐさめる]
comfort	楽 [らく]
comfortable	伸びやか [のびやか]
comfortable	心地よい [ここちよい]
comfortable	心地好い [ここちよい]
comfortable	心地良い [ここちよい]
comfortable	快適 [かいてき]
comfortable	気楽 [きらく]
comfortably	快く [こころよく]
comfortably	楽々 [らくらく]
comfortably	楽楽 [らくらく]
comfortably	温々 [ぬくぬく]
comfortably	温温 [ぬくぬく]
comforter	慰安者 [いあんしゃ]
comforter	掛け蒲団 [かけぶとん]
comforter	襟巻 [えりまき]
comforter	首巻 [くびまき]
comforter	首巻き [くびまき]
comforting	労 [ろう]
comfortless	佗しい [わびしい]
comfortless	侘しい [わびしい]
comfrey	コンフリー
comic	お笑い [おわらい]
comic	御笑い [おわらい]
comic	漫画 [まんが]
comical	コミカル
comical	滑稽 [こっけい]
comical	茶番的 [ちゃばんてき]
coming	参入 [さんにゅう]
coming	来臨 [らいりん]
comma	カンマ
comma	コンマ
comma	読点 [とうてん]
command	下命 [かめい]
command	下知 [げち]
command	下知 [げぢ]
command	令 [れい]
command	仰せ [おおせ]
command	仰せつける [おおせつける]
command	仰せ付ける [おおせつける]
command	制する [せいする]
command	占む [しむ]
command	号令 [ごうれい]
command	司令 [しれい]
command	命 [みょう]
command	命 [めい]
command	命じる [めいじる]
command	命令 [めいれい]
command	指揮 [しき]
command	用命 [ようめい]
command	統率 [とうそつ]
command	言い渡し [いいわたし]
commandant	司令官 [しれいかん]
commander	司令 [しれい]
commander	将 [しょう]
commander	将帥 [しょうすい]
commander	将星 [しょうせい]
commander	指揮官 [しきかん]
commander	統率者 [とうそつしゃ]
commander	総帥 [そうすい]
commanding	凛然たる [りんぜんたる]
commanding	引率 [いんそつ]
commandment	戒め [いましめ]
commandment	警め [いましめ]
commemoration	記念 [きねん]
commemoration	記念祭 [きねんさい]
commence	仕掛ける [しかける]
commencement	仕掛 [しかけ]
commencement	仕掛かり [しかかり]
commencement	仕掛け [しかけ]
commencement	始業 [しぎょう]
commencement	開始 [かいし]
commendable	奇特 [きとく]
commendable	奇特 [きどく]
commendation	称賛 [しょうさん]
commendation	表彰 [ひょうしょう]
commendation	賞賛 [しょうさん]
comment	コメント
comment	云々 [うんぬん]
comment	云云 [うんぬん]
comment	付注 [ふちゅう]
comment	伝 [てん]
comment	品評 [ひんぴょう]
comment	批判 [ひはん]
comment	概評 [がいひょう]
comment	注釈 [ちゅうしゃく]
comment	註 [ちゅう]
comment	評する [ひょうする]
comment	論 [ろん]
comment	論評 [ろんぴょう]
commentary	批評 [ひひょう]
commentary	月旦 [げったん]
commentary	演義 [えんぎ]
commentary	解説 [かいせつ]
commentary	註記 [ちゅうき]
commentary	註釈 [ちゅうしゃく]
commentary	評 [ひょう]
commentary	評注 [ひょうちゅう]
commentary	評註 [ひょうちゅう]
commentary	評釈 [ひょうしゃく]
commentary	通解 [つうかい]
commentary	通釈 [つうしゃく]
commentator	コメンテーター
commentator	解説者 [かいせつしゃ]
commentator	註釈者 [ちゅうしゃくしゃ]
commerce	互市 [ごし]
commerce	交易 [こうえき]
commerce	商売 [しょうばい]
commerce	商業 [しょうぎょう]
commerce	商法 [しょうほう]
commerce	稼業 [かぎょう]
commerce	通商 [つうしょう]
commercial	営利的 [えいりてき]
commercialism	コマーシャリズム
commercialism	商業主義 [しょうぎょうしゅぎ]
commercialism	営利主義 [えいりしゅぎ]
commercialization	企業化 [きぎょうか]
commercialization	商業化 [しょうぎょうか]
commercialization	商用化 [しょうようか]
commiserate	哀れむ [あわれむ]
commissariat	兵站部 [へいたんぶ]
commission	コミッション
commission	上前 [うわまえ]
commission	任命 [にんめい]
commission	依頼 [いらい]
commission	取り次ぎ [とりつぎ]
commission	取次 [とりつぎ]
commission	口銭 [こうせん]
commission	周旋料 [しゅうせんりょう]
commission	嘱託 [しょくたく]
commission	委任状 [いにんじょう]
commission	手数料 [てすうりょう]
commission	歩合 [ぶあい]
commission	職権 [しょっけん]
commissioner	コミッショナー
commissioner	事務官 [じむかん]
commissioner	弁務官 [べんむかん]
commissioner	総監 [そうかん]
commit	コミット
commit	働く [はたらく]
commit	出かす [でかす]
commit	出来す [でかす]
commit	委託 [いたく]
commit	犯す [おかす]
commitment	コミットメント
commitment	言い掛かり [いいがかり]
commitment	言質 [げんしつ]
commitment	言質 [げんち]
committee	コメディ
committee	コメディー
committee	委員会 [いいんかい]
commodity	商品 [しょうひん]
commodity	財貨 [ざいか]
commodity	食品 [しょくひん]
commodore	代将 [だいしょう]
commodore	准将 [じゅんしょう]
commodore	提督 [ていとく]
common	ご多分 [ごたぶん]
common	コモン
common	並 [なみ]
common	並み [なみ]
common	共有地 [きょうゆうち]
common	共立 [きょうりつ]
common	凡常 [ぼんじょう]
common	卑近 [ひきん]
