illogical	非論理的 [ひろんりてき]
illogicality	非合理 [ひごうり]
illuminate	射し込む [さしこむ]
illuminate	照らす [てらす]
illumination	イリュミネイション
illumination	イルミ
illumination	イルミネーション
illumination	照明 [しょうめい]
illusion	イリュージョン
illusion	イルージョン
illusion	幻 [まぼろし]
illusion	幻像 [げんぞう]
illusion	幻影 [げんえい]
illusion	幻覚 [げんかく]
illusion	惑い [まどい]
illusion	迷夢 [めいむ]
illusion	迷妄 [めいもう]
illustrate	例える [たとえる]
illustrate	喩える [たとえる]
illustrate	譬える [たとえる]
illustration	イラスト
illustration	イラストレーション
illustration	例 [ためし]
illustration	例 [れい]
illustration	例解 [れいかい]
illustration	例証 [れいしょう]
illustration	例話 [れいわ]
illustration	図 [ず]
illustration	図版 [ずはん]
illustration	図示 [ずし]
illustration	図説 [ずせつ]
illustration	実例 [じつれい]
illustration	挿図 [そうず]
illustration	用例 [ようれい]
illustration	絵図 [えず]
illustrator	イラストレーター
ilmenite	チタン鉄鉱 [チタンてっこう]
image	偶像 [ぐうぞう]
image	像 [ぞう]
image	写像 [しゃぞう]
image	写象 [しゃしょう]
image	形象 [けいしょう]
image	映像 [えいぞう]
image	画像 [がぞう]
imaginary	空想的 [くうそうてき]
imagination	イマジネーション
imagination	仮想 [かそう]
imagination	思い [おもい]
imagination	思い做しか [おもいなしか]
imagination	想い [おもい]
imagination	想像 [そうぞう]
imagine	イマジン
imagine	心に描く [こころにえがく]
imagine	思い描く [おもいえがく]
imagine	描き出す [えがきだす]
imago	成体 [せいたい]
imago	成虫 [せいちゅう]
imbalance	インバランス
imbalance	不均等 [ふきんとう]
imbalance	不均衡 [ふきんこう]
imbalance	不釣り合い [ふつりあい]
imbalance	不釣合い [ふつりあい]
imbalance	跛行 [はこう]
imbecile	低能者 [ていのうしゃ]
imbecility	不能 [ふのう]
imbecility	低能 [ていのう]
imbecility	庸愚 [ようぐ]
imbecility	痴愚 [ちぐ]
imbecility	羸弱 [るいじゃく]
imbecility	虚弱 [きょじゃく]
imbecility	魯鈍 [ろどん]
imbibe	吸いこむ [すいこむ]
imbibe	吸い込む [すいこむ]
imbue	注ぎ込む [そそぎこむ]
imbue	注ぎ込む [つぎこむ]
imitate	似せる [にせる]
imitate	倣 [ほう]
imitate	写す [うつす]
imitate	准える [なぞらえる]
imitate	副える [そえる]
imitate	形どる [かたどる]
imitate	形取る [かたどる]
imitate	摸 [も]
imitate	擬える [なぞらえる]
imitate	添える [そえる]
imitate	準える [なぞらえる]
imitate	真似る [まねる]
imitate	象る [かたどる]
imitation	イミテーション
imitation	人真似 [ひとまね]
imitation	偽 [ぎ]
imitation	偽 [にせ]
imitation	偽物 [ぎぶつ]
imitation	偽物 [にせもの]
imitation	拵え物 [こしらえもの]
imitation	捩り [もじり]
imitation	摸倣 [もほう]
imitation	摸擬 [もぎ]
imitation	摸造 [もぞう]
imitation	擬い [まがい]
imitation	擬製 [ぎせい]
imitation	模倣 [もほう]
imitation	模擬 [もぎ]
imitation	模造 [もぞう]
imitation	真似 [まね]
imitation	紛い物 [まがいもの]
imitation	贋 [にせ]
imitation	贋物 [がんぶつ]
imitation	贋物 [にせもの]
imitation	類似品 [るいじひん]
imitator	亜流 [ありゅう]
imitator	模倣者 [もほうしゃ]
imitator	模造者 [もぞうしゃ]
immaculate	雪白 [せっぱく]
immanence	内在 [ないざい]
immanence	内在性 [ないざいせい]
immanent	内在的 [ないざいてき]
immaterial	無形 [むけい]
immature	乳臭い [ちちくさい]
immature	大人げない [おとなげない]
immature	大人気ない [おとなげない]
immature	未熟 [みじゅく]
immature	生硬 [せいこう]
immature	青臭い [あおくさい]
immeasurable	無量 [むりょう]
immeasurable	計り知れない [はかりしれない]
immediacy	覿面 [てきめん]
immediate	イミディエイト
immediate	即値 [そくち]
immediate	即座 [そくざ]
immediate	当座 [とうざ]
immediate	目の前 [めのまえ]
immediate	目先 [めさき]
immediate	直接 [ちょくせつ]
immediately	一刻も早く [いっこくもはやく]
immediately	今 [いま]
immediately	即刻 [そっこく]
immediately	即座に [そくざに]
immediately	即時 [そくじ]
immediately	命令一下 [めいれいいっか]
immediately	早速 [さっそく]
immediately	直 [ひた]
immediately	直ぐ [すぐ]
immediately	直ぐに [すぐに]
immediately	直ぐ側 [すぐそば]
immediately	直ぐ様 [すぐさま]
immediately	直ちに [ただちに]
immediately	直に [じきに]
immense	土偉い [どえらい]
immense	洪大 [こうだい]
immense	絶大 [ぜつだい]
immense	至大 [しだい]
immigrant	移住民 [いじゅうみん]
immigrant	移住者 [いじゅうしゃ]
immigrant	移民 [いみん]
immigration	イミグレーション
immigration	入植 [にゅうしょく]
immigration	移住 [いじゅう]
immigration	移民 [いみん]
imminence	切迫 [せっぱく]
imminence	急迫 [きゅうはく]
imminence	焦眉 [しょうび]
imminent	切迫した [せっぱくした]
imminent	急迫した [きゅうはくした]
imminent	目の前 [めのまえ]
immobile	雁字搦め [がんじがらめ]
immobility	不動 [ふどう]
immobilize	押さえ込む [おさえこむ]
immodest	端たない [はしたない]
immoral	道ならぬ [みちならぬ]
immorality	不倫 [ふりん]
immorality	不徳 [ふとく]
immorality	不徳義 [ふとくぎ]
immorality	不義 [ふぎ]
immorality	不行状 [ふぎょうじょう]
immorality	不行跡 [ふぎょうせき]
immorality	不道徳 [ふどうとく]
immorality	乱倫 [らんりん]
immorality	悖徳 [はいとく]
immorality	悪徳 [あくとく]
