gibberish	珍紛漢紛 [ちんぷんかんぷん]
giddiness	くらくら
giddiness	目まい [めまい]
giddiness	目眩 [めまい]
giddiness	眩暈 [めまい]
giddiness	立ち眩 [たちくらみ]
gift	ギフト
gift	プレゼント
gift	与え [あたえ]
gift	使い物 [つかいもの]
gift	侑 [ゆう]
gift	到来物 [とうらいもの]
gift	奉呈 [ほうてい]
gift	寄贈品 [きぞうひん]
gift	引き出物 [ひきでもの]
gift	引出物 [ひきでもの]
gift	戴き物 [いただきもの]
gift	才 [さい]
gift	捧呈 [ほうてい]
gift	景品 [けいひん]
gift	景物 [けいぶつ]
gift	礼物 [れいもつ]
gift	給 [きゅう]
gift	能 [のう]
gift	貰い物 [もらいもの]
gift	賜り物 [たまわりもの]
gift	賜物 [たまもの]
gift	贈り物 [おくりもの]
gift	贈呈品 [ぞうていひん]
gift	贈物 [おくりもの]
gift	贈答品 [ぞうとうひん]
gift	進物 [しんもつ]
gift	配り物 [くばりもの]
gift	頂き物 [いただきもの]
gift	頂戴物 [ちょうだいもの]
gigabyte	ギガバイト
gigantic	巨大 [きょだい]
gigantic	魁偉 [かいい]
gigantism	巨大症 [きょだいしょう]
giggle	くすくす
giggle	くすくす笑う [くすくすわらう]
giggle	含み笑い [ふくみわらい]
gigolo	ジゴロ
gild	金鍍金 [きんめっき]
gill	ジル
gimmick	ギミック
gin	ジン
ginger	ジンジャー
ginger	生姜 [しょうが]
ginger	生薑 [しょうが]
gingerly	うぞうぞ
gingham	ギンガム
gingivitis	歯肉炎 [しにくえん]
gingivitis	歯齦炎 [しぎんえん]
ginkgo	公孫樹 [いちょう]
ginseng	人参 [にんじん]
ginseng	朝鮮人参 [ちょうせんにんじん]
giraffe	ジラフ
giraffe	麒麟 [きりん]
girdle	ガードル
girdle	腰帯 [こしおび]
girl	ガール
girl	女 [じょ]
girl	女の子 [おんなのこ]
girl	女子 [おなご]
girl	女子 [じょし]
girl	姉さん [ねえさん]
girlfriend	女友達 [おんなともだち]
girlfriend	意中の女 [いちゅうのおんな]
girth	周回 [しゅうかい]
girth	巡り [めぐり]
girth	胴回り [どうまわり]
gist	あらまし
gist	主意 [しゅい]
gist	主旨 [しゅし]
gist	概略 [がいりゃく]
gist	眼目 [がんもく]
gist	要旨 [ようし]
gist	要点 [ようてん]
gist	要領 [ようりょう]
gist	趣 [おもむき]
gist	趣き [おもむき]
gist	趣意 [しゅい]
give	ギブ
give	上げる [あげる]
give	下さる [くださる]
give	与える [あたえる]
give	凹む [へこむ]
give	呉れて遣る [くれてやる]
give	呉れる [くれる]
give	垂れる [たれる]
give	差し上げる [さしあげる]
give	捧げる [ささげる]
