original	目新しい [めあたらしい]
originality	オリジナリティ
originality	オリジナリティー
originality	創意 [そうい]
originality	創見 [そうけん]
originality	新規 [しんき]
originality	独創 [どくそう]
originality	独自性 [どくじせい]
originally	元々 [もともと]
originally	元は [もとは]
originally	元元 [もともと]
originally	元来 [がんらい]
originally	初めは [はじめは]
originally	始めは [はじめは]
originally	本々 [もともと]
originally	本本 [もともと]
originally	本来 [ほんらい]
originally	総体 [そうたい]
originate	創 [そう]
originate	創める [はじめる]
origination	創製 [そうせい]
originator	元祖 [がんそ]
originator	創始者 [そうししゃ]
originator	創案者 [そうあんしゃ]
originator	始祖 [しそ]
originator	宗家 [そうけ]
originator	張本人 [ちょうほんにん]
originator	本家 [ほんけ]
originator	本家本元 [ほんけほんもと]
originator	発案者 [はつあんしゃ]
originator	発起人 [ほっきにん]
originator	発頭人 [ほっとうにん]
originator	草分け [くさわけ]
originator	開祖 [かいそ]
originator	鼻祖 [びそ]
ornament	オーナメント
ornament	壁掛け [かべかけ]
ornament	置き物 [おきもの]
ornament	置物 [おきもの]
ornament	花形 [はながた]
ornament	装飾 [そうしょく]
ornament	装飾品 [そうしょくひん]
ornament	飾り物 [かざりもの]
ornament	飾る [かざる]
ornithology	鳥類学 [ちょうるいがく]
orotund	円転たる [えんてんたる]
orphan	みなし子 [みなしご]
orphan	孤 [みなしご]
orphan	孤児 [こじ]
orphan	孤児 [みなしご]
orphan	親無し子 [おやなしご]
orphan	遺児 [いじ]
orphan	遺孤 [いこ]
orphanage	孤児院 [こじいん]
orphanage	育児院 [いくじいん]
orris	匂い菖蒲 [においしょうぶ]
orthodox	オーソドックス
orthodox	本式 [ほんしき]
orthodox	正統 [せいとう]
orthodoxy	正教 [せいきょう]
orthodoxy	正統信教 [せいとうしんきょう]
orthogonal	直交 [ちょっこう]
orthogonal	直交性 [ちょっこうせい]
oscillation	動揺 [どうよう]
oscillation	振動 [しんどう]
oscillation	発振 [はっしん]
oscillator	振動子 [しんどうし]
oscillator	発振器 [はっしんき]
oscillator	発振機 [はっしんき]
oscillograph	オシログラフ
oscilloscope	オシロスコープ
osmosis	浸透 [しんとう]
osmosis	浸透性 [しんとうせい]
ossification	化骨 [かこつ]
ossification	骨化 [こっか]
ostensible	表向き [おもてむき]
ostensible	表面上 [ひょうめんじょう]
ostensibly	表立って [おもてだって]
ostentation	虚飾 [きょしょく]
ostentation	衒気 [げんき]
ostentation	誇示 [こじ]
ostentatious	看板倒れ [かんばんだおれ]
ostentatious	麗々しい [れいれいしい]
ostentatious	麗麗しい [れいれいしい]
ostentatiously	此れ見よがしに [これみよがしに]
osteoarthritis	骨関節症 [こつかんせつしょう]
osteomalacia	骨軟化症 [こつなんかしょう]
osteopath	接骨医 [せっこつい]
osteopath	整骨師 [せいこつし]
osteoporosis	骨粗鬆症 [こつそしょうしょう]
osteosarcoma	骨肉腫 [こつにくしゅ]
ostracism	オストラシズム
ostracism	排斥 [はいせき]
ostracism	擯斥 [ひんせき]
ostracism	放逐 [ほうちく]
ostracism	村八分 [むらはちぶ]
ostracism	爪弾き [つまはじき]
ostracism	貝殻追放 [かいがらついほう]
ostrich	オストリッチ
ostrich	オーストリッチ
ostrich	駝鳥 [だちょう]
ostrich	鴕鳥 [だちょう]
other	余り [あまり]
other	余り [あんまり]
other	雑用 [ざつよう]
otherwise	その他 [そのほか]
otherwise	又は [または]
otherwise	然もないと [さもないと]
otherwise	然もなくば [さもなくば]
otherwise	然もなければ [さもなければ]
otherwise	然も無いと [さもないと]
otherwise	然も無くば [さもなくば]
otherwise	然も無ければ [さもなければ]
otherwise	若しくは [もしくは]
otolaryngology	耳鼻科 [じびか]
otter	川獺 [かわうそ]
otter	獺 [かわうそ]
ottoman	長いす [ながいす]
ottoman	長椅子 [ながいす]
ounce	オンス
our	吾が [わが]
our	我 [わが]
our	我が [わが]
our	本 [ほん]
out	アウト
out-of-bounds	オービー
out-of-date	アウトオブデート
outback	アウトバック
outbreak	発生 [はっせい]
outbreak	突発 [とっぱつ]
outburst	勃発 [ぼっぱつ]
outburst	激発 [げきはつ]
outcast	のけ者 [のけもの]
outcast	人外 [にんがい]
outcast	落伍者 [らくごしゃ]
outcast	非人 [ひにん]
outcome	仕儀 [しぎ]
outcome	成り行き [なりゆき]
outcome	成否 [せいひ]
outcome	成行き [なりゆき]
outcry	叫び [さけび]
outcry	喚き声 [わめきごえ]
outdistance	乗り越す [のりこす]
outdistance	乗越す [のりこす]
outdistance	追い抜く [おいぬく]
outdistance	追い越す [おいこす]
outdo	凌ぐ [しのぐ]
outdoor	アウトドア
outdoor	青天井 [あおてんじょう]
outer	アウター
outer	上 [うわ]
outerwear	アウターウエア
outfield	外野 [がいや]
outfielder	外野手 [がいやしゅ]
outfit	出で立ち [いでたち]
outfit	衣装 [いしょう]
outfit	衣裳 [いしょう]
outfit	装い [よそおい]
outfit	身仕度 [みじたく]
outfit	身形 [みなり]
outflow	出 [で]
outhouse	別棟 [べつむね]
outhouse	納屋 [なや]
outing	外出 [がいしゅつ]
outing	外出 [そとで]
outing	行楽 [こうらく]
outing	遊山 [ゆさん]
outlaw	アウトロー
outlaw	人外 [にんがい]
outlaw	兇徒 [きょうと]
outlaw	兇漢 [きょうかん]
outlaw	凶徒 [きょうと]
outlaw	凶漢 [きょうかん]
outlaw	無法者 [むほうしゃ]
outlaw	無法者 [むほうもの]
outlawry	不逞 [ふてい]
outlay	経費 [けいひ]
outlet	出口 [でぐち]
outlet	売れ口 [うれくち]
outlet	捌け口 [さばけぐち]
outlet	捌け口 [はけぐち]
outlet	販路 [はんろ]
outline	アウトライン
outline	レジュメ
outline	大体 [だいたい]
outline	大略 [たいりゃく]
outline	大筋 [おおすじ]
outline	大系 [たいけい]
outline	大綱 [たいこう]
outline	大要 [たいよう]
outline	提要 [ていよう]
outline	摘要 [てきよう]
outline	撮要 [さつよう]
outline	梗概 [こうがい]
outline	概略 [がいりゃく]
outline	概要 [がいよう]
outline	概観 [がいかん]
outline	概説 [がいせつ]
outline	概論 [がいろん]
outline	汎論 [はんろん]
