soundness	確実 [かくじつ]
soundtrack	サウンドトラック
soundtrack	サントラ
soup	ポタージュ
soup	割下 [わりした]
soup	吸物 [すいもの]
soup	汁 [しる]
soup	汁 [つゆ]
soup	汁物 [しるもの]
sour	サワー
sour	不毛 [ふもう]
sour	酸い [すい]
sour	酸っぱい [すっぱい]
source	ソース
source	元凶 [がんきょう]
source	元凶 [げんきょう]
source	出処 [しゅっしょ]
source	出所 [しゅっしょ]
source	原初 [げんしょ]
source	原因 [げんいん]
source	所出 [しょしゅつ]
source	根元 [こんげん]
source	根元 [ねもと]
source	根本 [こんぽん]
source	根本 [ねもと]
source	根源 [こんげん]
source	水上 [みなかみ]
source	源 [げん]
source	源 [みなもと]
source	源泉 [げんせん]
source	濫觴 [らんしょう]
source	由来 [ゆらい]
source	種 [たね]
source	起こり [おこり]
sourness	酸味 [さんみ]
south	南 [なん]
south	南方 [なんぽう]
south-southeast	南々東 [なんなんとう]
south-southeast	南南東 [なんなんとう]
southbound	南航 [なんこう]
southbound	南行 [なんこう]
southeast	南東 [なんとう]
southeast	南東 [みなみひがし]
southeast	巽 [そん]
southeast	巽 [たつみ]
southern	南方 [なんぽう]
southernmost	最南 [さいなん]
southpaw	サウスポー
southward	南方 [なんぽう]
southwest	南西 [なんせい]
southwest	南西 [みなみにし]
souvenir	お土産 [おみやげ]
souvenir	スーブニール
souvenir	スーベニア
souvenir	土産 [みやげ]
souvenir	引き出物 [ひきでもの]
souvenir	引出物 [ひきでもの]
souvenir	形見 [かたみ]
souvenir	忘れ形見 [わすれがたみ]
souvenir	記念品 [きねんひん]
souvenir	記念物 [きねんぶつ]
sovereign	上 [うえ]
sovereign	主権者 [しゅけんしゃ]
sovereign	人君 [じんくん]
sovereign	元首 [げんしゅ]
sovereign	国主 [こくしゅ]
sovereign	帝王 [ていおう]
sovereign	王 [おう]
sovereign	統治者 [とうちしゃ]
sovereignty	万乗 [ばんじょう]
sovereignty	主権 [しゅけん]
sovereignty	統治権 [とうちけん]
sovereignty	至上権 [しじょうけん]
sow	撒く [まく]
soy	下地 [したじ]
spa	温泉 [おんせん]
spa	温泉郷 [おんせんきょう]
space	スペース
space	宇宙 [うちゅう]
space	宙 [ちゅう]
space	寛ぎ [くつろぎ]
space	空白 [くうはく]
space	空間 [くうかん]
space	間 [あいだ]
space	間 [ま]
space	間隔 [かんかく]
space-time	時空 [じくう]
spacecraft	スペースクラフト
spaceman	スペースマン
spacious	ゆったり
spacious	広々 [ひろびろ]
spacious	広々とした [ひろびろとした]
spacious	広い [ひろい]
spacious	広広 [ひろびろ]
spacious	広広とした [ひろびろとした]
spacious	広闊 [こうかつ]
spacious	手広い [てびろい]
spacious	溶溶たる [ようようたる]
spade	スコップ
spade	スペード
spade	鋤 [すき]
spadework	下ごしらえ [したごしらえ]
spadework	下地 [したじ]
spadework	下拵え [したごしらえ]
spaghetti	スパゲッティ
spaghetti	スパゲティ
spaghetti	スパゲティー
span	スパン
span	一指当たり [いちゆびあたり]
span	全長 [ぜんちょう]
spangle	スパングル
spangle	スパンコール
spanner	スパナ
spare	予備 [よび]
spare	予備装置 [よびそうち]
spare	余す [あます]
spark	スパーク
spark	火花 [ひばな]
spark	種火 [たねび]
sparkle	きらきら
sparkle	ぴかぴか
sparkle	ぴかぴか光る [ぴかぴかひかる]
sparkle	煌く [きらめく]
sparkle	煌めき [きらめき]
sparkle	煌めく [きらめく]
sparkle	輝く [かがやく]
sparrow	雀 [すずめ]
sparrow	黄雀 [こうじゃく]
sparse	希薄 [きはく]
sparse	疎ら [まばら]
sparse	稀薄 [きはく]
sparsely	ちょぼちょぼ
spasm	スパズム
spasm	引き攣り [ひきつり]
spasm	激発 [げきはつ]
spasm	発作 [ほっさ]
spat	ゲートル
spatter	ほざく
spatula	スパチュラ
spatula	スパーテル
spatula	フライ返し [フライがえし]
spatula	箆 [へら]
spawn	卵 [たまご]
spawn	玉子 [たまご]
spawn	生みつける [うみつける]
spawn	生み付ける [うみつける]
spawn	産みつける [うみつける]
spawn	産み付ける [うみつける]
speak	仰しゃる [おっしゃる]
speak	仰っしゃる [おっしゃる]
speak	仰る [おっしゃる]
speak	仰有る [おっしゃる]
speak	口走る [くちばしる]
speak	弁じる [べんじる]
speak	物申す [ものもうす]
speak	言い出す [いいだす]
speak	話す [はなす]
speaker	スピーカ
speaker	スピーカー
speaker	弁者 [べんしゃ]
speaker	演者 [えんじゃ]
speaker	演説家 [えんぜつか]
speaker	発言者 [はつげんしゃ]
speaker	話し手 [はなして]
speaker	話者 [わしゃ]
speaker	語り手 [かたりて]
speaking	発声 [はっせい]
spear	スピア
spear	槍 [やり]
spearhead	先端 [せんたん]
spearhead	尖端 [せんたん]
spearhead	最前戦 [さいぜんせん]
spearhead	槍の穂先 [やりのほさき]
spearhead	槍先 [やりさき]
special	スペシャル
special	一方ならぬ [ひとかたならぬ]
special	分外 [ぶんがい]
special	別格 [べっかく]
special	格外 [かくがい]
special	格段 [かくだん]
special	特別 [とくべつ]
special	特定 [とくてい]
special	特撰 [とくせん]
special	特殊 [とくしゅ]
special	特段 [とくだん]
special	破格 [はかく]
special	臨時 [りんじ]
specialist	スペシャリスト
specialist	専属 [せんぞく]
specialist	専門家 [せんもんか]
speciality	名物 [めいぶつ]
speciality	専門 [せんもん]
speciality	本領 [ほんりょう]
specialization	分化 [ぶんか]
specialization	分業 [ぶんぎょう]
specialization	専修 [せんしゅう]
specialization	専門化 [せんもんか]
specialization	特化 [とっか]
specially	事新しく [ことあたらしく]
specially	態々 [わざわざ]
