vainly	тщетно
vale	дол
vale	долина
valediction	прощание
valence	валентность
valency	валентность
valerian	валериана
valerian	валерьянка
valet	камердинер
valet	слуга
valetudinarian	болезненный
valiance	доблесть
valiance	храбрость
valiancy	доблесть
valiancy	храбрость
valiant	героический
valiant	доблестный
valiant	храбрый
valiantly	храбро
valid	действительный
valid	допустимый
valid	обоснованный
valid	сила: имеющий силу
valid	уважительный
validate	утверждать
validation	легализация
validation	ратификация
validation	утверждение
validity	действие
validity	законность
validity	обоснованность
validity	основательность
valise	саквояж
valkyrie	валькирия
valley	впадина
valley	долина
valley	ендова
valley	разжелобок
valor	доблесть
valor	отвага
valorous	доблестный
valour	доблесть
valour	отвага
valse	вальс
valuable	драгоценный
valuable	полезный
valuable	ценный
valuables	ценности
valuation	оценка
value	валюта
value	величина
value	дорожить
value	драгоценность
value	значение
value	оценивать
value	стоимость
value	цена
value	ценить
value	ценность
valued	оцененный
valueless	бесполезный
valuer	оценщик
valuta	валюта
valve	вентиль
valve	клапан
valve	створка
vamoose	убираться
vamoose	удирать
vamp	вамп
vampire	вампир
vampire	вымогатель
vampire	кровопийца
vampire	упырь
van	авангард
van	автофургон
van	вагон
vandal	вандал
vandal	хулиган
vandalism	вандализм
vandalize	разрушать
vandals	вандалы
vane	лопасть
vane	лопатка
vane	флюгер
vanguard	авангард
vanilla	ваниль
vanish	исчезать
vanish	исчезнуть
vanish	пропадать
vanity	суетность
vanity	тщеславие
vanquish	перебороть
vanquish	побеждать
vanquish	покорять
vanquish	превозмогать
vanquish	преодолевать
vanquish	преодолеть
vanquisher	завоеватель
vanquisher	победитель
vantage	выгода
vantage	преимущество
vantage	прибыль
vapid	безвкусный
vapid	бессодержательный
vapid	вялый
vapid	плоский
vapid	пресный
vapid	скучный
vapor	испарения
vapor	пар
vaporization	выпаривание
vaporization	испарение
vaporize	испарять
vaporize	испаряться
vapour	испарения
vapour	пар
variability	изменчивость
variability	непостоянство
variability	неустойчивость
variability	превратность
variable	вариабельный
variable	изменчивый
variable	меняющийся
variable	непостоянный
variable	неустойчивый
variable	переменная
variable	переменный
variable	переменчивый
variable	превратный
variance	изменение
variance	перемена
variance	противоречие
variance	расхождение
variant	вариант
variant	другой
variant	иной
variant	прочий
variant	различный
variation	вариация
variation	видоизменение
variation	изменение
variation	отклонение
variation	перемена
variation	разновидность
variation	смена
varicella	ветряной: ветряная оспа
varicolored	разноцветный
varicoloured	разноцветный
varicose	варикозный
varied	многообразный
varied	пестрый
varied	различный
varied	разнообразный
varied	разный
variegate	разнообразить
variegated	разнообразный
variety	варьете
variety	вид
variety	разновидность
variety	разнообразие
variety	сорт
variola	оспа
various	многие
various	различный
various	разнообразный
various	разносторонний
various	разный
varlet	мошенник
varnish	глазурь
varnish	глянец
varnish	лак
varnish	лакировать
varnish	лакировка
varnish	политура
varnishing	лакировка
varsity	университет
vary	варьировать
vary	изменять
vary	менять
vary	отклоняться
vary	отличаться
vary	разнообразить
varying	переменный
vascular	сосудистый
vase	ваза
vaseline	вазелин
vast	громадный
vast	обширный
vast	огромный
vast	просторный
vast	широкий
vastly	значительно
vastly	крайне
vastly	очень
vastness	простор
vat	бочка
vat	ванна
vat	кадка
vat	ушат
vat	цистерна
