packing	sada
pact	dohoda
pact	pakt
pact	smlouva
pad	blok
pad	bříško
pad	podložit
pad	podložka
pad	poduška
pad	polštář
pad	poznámkový list
pad	vatovat
pad	vycpat
pad	vycpávat
pad	vycpávka
pad	čalounění
paddle	brouzdat
paddle	brouzdat se
paddle	lopatka
paddle	pádlo
paddle	pádlovat
paddlefish	veslonos
paddock	ohrazené pastvisko
paddy	vztek
paddy	zlost
padlock	visací zámek
paean	chvalozpěv
paean	hymnus
paean	paján
paediatric	pediatrický
paediatrician	dětský lékař
paedophile	pedofil
paedophilia	pedofilie
paella	španělské jídlo z rýže
pagan	neznaboh
pagan	pohan
pagan	pohanský
paganism	pohanství
page	list
page	očíslovat stránky
page	páže
page	strana
page	stránka
pageant	okázalost
pageantry	nádhera
pageboy	poslíček
pager	pager
pagination	stránkování
pagoda	pagoda
paid	placený
paid	zaplaceno
paid	zaplacený
paid	zaplatil
paid-up	zaplacený předem
pail	džber
pail	kbelík
pail	vědro
pain	bolest
pain	bolesti
pain	bolet
pain	problém
painful	bolavý
painful	bolestivý
painful	bolestný
painful	namáhavý
painful	obtížný
painful	trapný
painfully	bolestivě
painless	bezbolestný
painlessly	bezbolestně
painstakingly	horlivě
painstakingly	pilně
painstakingly	snaživě
paint	barva
paint	lak
paint	líčidlo
paint	líčit
paint	malovat
paint	natírat
paint	nátěr
paint	popisovat
paint	vymalovat
paint	zobrazit
paintbox	skříňka s barvami
paintbrush	štětec
painter	lakýrník
painter	malíř
painter	natěrač
painting	malba
painting	malování
painting	malířství
painting	natírání
painting	obraz
pair	dvojice
pair	dvojspřeží
pair	pár
pair	párový
paisley	kašmír
pal	kamarád
pal	partner
palace	palác
paladin	bojovník za přesvědčení
paladin	ochránce
palaeolithic	paleolitický
palaeontological	paleontologický
palaeontologist	paleontolog
palaeontology	paleontologie
palanquin	palankýn
palatability	chutnost
palatable	chutný
palatable	přijatelný
palatable	stravitelný
palatal	palatála
palatal	palatální
palatal	patrový
palate	patro
palatial	luxusní
palatial	palácový
palatine	úředník ve starém Římě
palaver	dohadování
palaver	komplikace
palaver	lichocení
palaver	nepříjemnosti
palaver	pochlebování
palaver	tlachání
palaver	žvanění
pale	blednout
pale	bledý
pale	bledě
pale	kůl
pale	lať
pale	mdlý
pale	plot
pale	pobledlý
pale	světlý
pale	tyčka
pale	vybledlý
pale	vyblednout
pale	zblednout
palely	bledě
paleness	bledost
paleontologist	paleontolog
paleontology	paleontologie
palette	paleta
palfrey	jezdecký kůň
palimpsest	druh rukopisu
palimpsest	palimpsest
palindrome	palindrom
palisade	palisáda
pall	korunovační plášť
pall	omrzet
pall	plášť
pall	příkrov
palladium	palladium
pallet	paleta
pallet	pryčna
pallet	slamník
pallet	záklopka
palliasse	slamník
palliate	utišit
palliate	zmírnit
palliation	utišení
palliative	paliativní
palliative	paliativum
pallid	bledý
pallor	bledost
pallor	pobledlost
palm	dlaň
palm	palma
palm	podstrčit
palmar	dlaňový
palmy	palmový
palmy	skvělý
palmy	triumfální
palmy	vítězný
palomino	plemeno koně
palpable	hmatný
palpable	zřejmý
palpably	patrně
palpably	zřejmě
palpation	pohmat
palsy	obrna
palsy	ochrnutí
palsy	paralýza
paltry	mizerný
paltry	nicotný
pamper	hýčkat
pamper	rozmazlovat
pamphlet	brožura
pamphlet	leták
pamphlet	pamflet
pamphleteer	pamfletista
pamphleteer	pisatel letáků
pan	kastrol
pan	mísa
pan	pekáč
pan	pánev
panacea	všelék
panache	elegance
panache	švih
