silently	tiše
silhouette	silueta
silica	křemen
silicate	křemičitan
silicate	silikát
siliceous	křemičitý
silicon	křemík
silicone	silikon
silicosis	silikóza
silk	hedvábný
silk	hedvábí
silken	hedvábný
silkily	hedvábně
silkiness	hedvábnost
silkworm	bourec
silkworm	bourec morušový
silkworm	housenka bource morušového
silky	hebký
silky	hedvábný
silky	jemný
sill	parapet
silliness	naivita
silliness	pošetilost
silly	blbý
silly	bláhový
silly	hloupý
silly	hlupáček
silly	pitomý
silly	pošetilý
silo	silo
siloxane	siloxan
silt	bahno
siltstone	siltovec
silty	prachovitý
silvan	lesnatý
silver	postříbřit
silver	stříbný
silver	stříbrné nádobí
silver	stříbrné peníze
silver	stříbrný
silver	stříbro
silver	stříbřit
silverfish	karas
silversmith	stříbrotepec
silversmith	zlatník
silverware	stříbrné věci
silverweed	mochna husí
silvery	stříbrný
silviculture	lesnictví
simian	opičí
similar	obdobný
similar	podobný
similarity	podobnost
similarly	podobně
simile	přirovnání
similitude	podobnost
simony	simonie
simony	svatokupectví
simper	culení
simper	usmívat se
simper	ušklíbání
simper	úsměv
simple	hloupý
simple	hlupák
simple	jednoduchý
simple	naivka
simple	naivní
simple	prostoduchý
simple	prostý
simple	srozumitelný
simpleton	prosťáček
simplex	simplex
simplicity	jednoduchost
simplification	zjednodušení
simplify	zjednodušit
simplistic	zjednodušující
simply	jednoduše
simply	prostě
simply	skromně
simply	zkrátka
simulacrum	představa
simulate	předstírat
simulate	simulovat
simulation	simulace
simulator	simulátor
simultaneity	simultánnost
simultaneity	souběžnost
simultaneous	simultánní
simultaneous	souběžný
simultaneous	současný
simultaneously	souběžně
simultaneously	současně
simultaneously	zároveň
sin	hřešit
sin	hřích
sin	prohřešek
sin	přestupek
sin	zhřešit
since	jelikož
since	od té doby
since	od té doby co
since	poněvadž
sincere	upřimný
sincere	upřímný
sincerely	opravdově
sincerely	ryze
sincerely	upřímně
sincerity	srdečnost
sincerity	upřímnost
sine	sinus
sinecure	výnosné zaměstnání
sinew	šlacha
sinewy	šlachovitý
sinful	hříšný
sinfulness	hříšnost
sing	zazpívat
sing	zpívat
singable	vhodný pro zpívání
singe	lehce popálit
singe	opalovat
singe	ožehnout
singe	sežehnout
singer	pěvec
singer	zpěvačka
singer	zpěvák
singing	zpívající
singing	zpívá
singing	zpívání
singing	zpěv
single	jedinečný
single	jediný
single	jednoduchý
single	jednotit
single	jednotlivec
single	jednotlivý
single	jednotný
single	neženatý
single	osamocený
single	osamostatnit
single	samostatný
single	samotný
single	svobodný
single-handedly	bez pomoci
single-mindedly	soustředěně
single-mindedness	cílevědomost
single-mindedness	soustředěnost
singleness	jedinost
singlet	nátělník
singleton	unikát
singly	jednotlivě
singly	samostatně
singsong	monotónní
singsong	monotónně mluvit
singular	individuální
singular	jedinečný
singular	jednoduchý
singular	jednotlivý
singular	jednotné číslo
singular	neobvyklý
singular	neobyčejný
singular	nevídaný
singular	nezvyklý
singular	pozoruhodný
singular	singulární
singular	výjimečný
singular	výstřední
singular	zvláštní
singularity	jedinečnost
singularly	jedinečně
singularly	mimořádně
singularly	ojediněle
sinister	neblahý
sinister	pochmurný
sinister	zlověstný
sinistral	levostranný
sinistral	levácký
sink	dřez
sink	kalová jímka
sink	klesat
sink	klesnout
sink	ponor
sink	ponořit
sink	ponořovat
sink	potopit
sink	potopit se
sink	potápět se
sink	umyvadlo
sink	výlevka
sink	zapustit
sink	žumpa
sinker	hlubič
sinking	klesající
sinless	bez hříchu
sinner	hříšník
sinter	sintr
sinter	sintrovat
sinter	spékaný kov
sinter	spékat
sinter	struska
sinuous	klikatý
