hear	zaslechnout
heard	slyšel
hearer	posluchač
hearing	projednání
hearing	projednávání
hearing	sluch
hearing	slyšení
hearing	stání
hearing	výslech
hearken	naslouchat
hearsay	klepy
hearse	máry
hearse	pohřební vůz
heart	drahoušek
heart	duše
heart	jádro
heart	miláček
heart	nitro
heart	odvaha
heart	podstata
heart	srdce
heart	srdeční
heart	temperament
heart-whole	srdečný
heart-whole	upřímný
heartache	zármutek
heartache	žal
heartbeat	puls
heartbeat	tep
heartbreak	hoře
heartbreak	žal
heartbroken	se zlomeným srdcem
heartburn	pálení žáhy
heartburn	žáha
hearten	povzbudit
heartfelt	srdečný
hearth	krb
hearth	výheň
hearthrug	podložka před krb
hearthstone	domov
hearthstone	krbová deska
heartily	srdečně
heartily	upřímně
heartiness	srdečnost
heartless	bezcitný
heartless	krutý
heartless	nelítostný
heartless	nemající srdce
heartless	nemilosrdný
heartlessly	nemilosrdně
heartlessness	bezcitnost
heartlessness	nelítostnost
heartlessness	nemilosrdnost
heartsick	zarmoucený
heartwood	jádrové dřevo
hearty	srdečný
hearty	upřímný
heat	dohřát
heat	horko
heat	ohřát
heat	rozehřát
heat	teplo
heat	vedro
heat	vytápět
heat	zatopit
heat	žár
heatedly	ohnivě
heatedly	rozčileně
heatedly	vášnivě
heater	kamínka
heater	ohřívač
heater	otopné těleso
heater	topné těleso
heater	topný článek
heath	pláň
heath	vřes
heath	vřesoviště
heathen	divoch
heathen	pohan
heathenism	pohanství
heather	vřes
heather	vřesovec
heathland	vřesoviště
heating	ohřívání
heating	topení
heating	topný
heating	vytápění
heatless	nevytápěný
heatstroke	úpal
heatstroke	úžeh
heave	bobtnat
heave	zdvihat
heave	zdvihnout
heave	zdvihnutí
heave	zvedat
heave	zvednout
heaven	nebe
heaven	nebesa
heaven	obloha
heaven-sent	seslaný z nebe
heavenly	božský
heavenly	báječně
heavenly	nebesky
heavenly	nebeský
heavenly	skvělý
heavenward	směřující k nebi
heavily	hustě
heavily	silně
heavily	těžce
heaviness	tíha
heaviness	tíže
heaving	bobtnání
heaving	vzdouvání
heaving	zdvihání
heavy	hustý
heavy	nudný
heavy	obtížný
heavy	silný
heavy	těžký
heavy-duty	mající velkou výdrž
heavyweight	těžká váha
heck	kruci
heck	sakra
heckler	provokatér
heckler	výtržník
hectare	hektar
hectic	hektický
hectic	horečný
hectically	hekticky
hectolitre	hektolitr
hector	komandovat
hector	zastrašovat
hedge	bariéra
hedge	křoví
hedge	překážka
hedge	zeď
hedge	živý plot
hedgehog	ježek
hedgerow	živý plot
hedonic	požitkářský
hedonic	rozkošnický
hedonism	hédonismus
hedonism	požitkářství
hedonist	hédonistický
hedonist	požitkář
hedonist	rozkošník
hedonistic	hédonistický
hedonistic	požitkářský
hedonistic	rozkošnický
heed	dbát
heed	péče
heedful	obezřetný
heedful	pozorný
heedful	všímavý
heedless	nepozorný
heedlessly	nedbale
heedlessness	nedbalost
heedlessness	nepozornost
heel	pata
heel	podpatek
heft	potěžkat
hegemony	hegemonie
hegemony	nadvláda
heifer	jalovice
height	výše
height	výšina
height	výška
heighten	vystupňovat
heighten	zvýšit
heinous	hnusný
heinous	ohavný
heinousness	hnusnost
heinousness	odpornost
heinousness	ohavnost
heir	dědic
heiress	dědička
heirloom	dědictví
heist	loupež
heist	vloupání
held	držen
held	držený
held	konající se
heliacal	heliaktický
helical	šroubovitý
helicopter	helikoptéra
helicopter	vrtulník
heliocentric	heliocentrický
heliograph	heliograf
heliotrope	druh minerálu
heliotrope	heliotrop
helium	helium
helium	hélium
helix	spirála
hell	peklo
hell-bent	odhodlaný
hell-bent	tvrdohlavý
hellcat	semetrika
hellcat	čarodějnice
hellebore	čemeřice
heller	haléř
