fierily	ohnivě
fiery	horlivý
fiery	hořlavý
fiery	hořící
fiery	nadšený
fiery	nezkrotný
fiery	náruživý
fiery	ohnivý
fiery	plamenný
fiery	planoucí
fiery	vznětlivý
fiery	výbušný
fiery	zanícený
fiery	zapálený
fiery	žhavý
fiery	žhnoucí
fiery	žhoucí
fiesta	slavnost
fife	pikola
fifteen	patnáct
fifteenth	patnáctý
fifth	pátý
fifth	pětina
fifthly	za páté
fifties	padesátá léta
fiftieth	padesátina
fiftieth	padesátý
fifty	padesát
fifty	padesátka
fifty-eight	padesát osm
fifty-fifty	napůl
fifty-fifty	rovnoměrně
fifty-fifty	spravedlivě
fifty-five	padesát pět
fifty-four	padesát čtyři
fifty-one	padesát jedna
fifty-seven	padesát sedm
fifty-six	padesát šest
fifty-three	padesát tři
fifty-two	padesát dva
fig	fík
fight	boj
fight	bojovat
fight	potírat
fight	pranice
fight	přemáhat
fight	rvačka
fight	rvát se
fight	spor
fight	zmáhat
fight	zápasit
fight	zápolit
fighter	bojovník
fighter	stíhací letadlo
fighter	stíhačka
fighter	zápasník
fighting	boj
fighting	bojování
figment	smyšlenka
figment	výmysl
figment	výplod
figment	výtvor
figural	figurální
figuration	zpodobení
figurative	obrazný
figuratively	obrazně
figure	cifra
figure	domnívat se
figure	figura
figure	figurka
figure	figurovat
figure	figurální
figure	naznačit
figure	obrazec
figure	obrázek
figure	odhadnout
figure	osoba
figure	osobnost
figure	očíslovat
figure	podoba
figure	postava
figure	představa
figure	přijít k závěru
figure	schéma
figure	tvar
figure	usoudit
figure	vyčíslit
figure	vzor
figure	zjev
figure	znak
figure	znázornit
figure	zobrazit
figure	údaj
figure	útvar
figure	částka
figure	číslice
figure	číslo
figurehead	galionová figura
figurehead	loutka
figurine	figurína
figwort	krtičník
filament	nitka
filament	vlákno
filamentous	vláknitý
filaria	filarie
filaria	vlasovec
filarial	vlasovcovitý
filariasis	filarióza
filbert	lístka
filbert	lístkový ořech
filch	ukrást
file	desky
file	evidovat
file	pilník
file	pilovat
file	pořadač
file	soubor
file	spis
file	šanon
filer	správce firemních dokumentů
filial	dceřiný
filiation	filiace
filiation	původ
filiation	určení otcovství
filibuster	mařit jednání
filibuster	obstrukce
filibuster	průtah
filigree	křehká práce
filing	registrace
filing	zařazení
fill	nalít
fill	naplnit
fill	naplňovat
fill	nasytit
fill	plnit
fill	sytit
fill	vyplnit
fill	výplň
filler	plnidlo
filler	plnič
filler	výplň
fillet	filé
filling	nádivka
filling	náplň
filling	plnění
filling	plomba
filling	vyplňování
filling	výplň
filling	zaplnění
fillip	popud
fillip	povzbuzení
fillip	stimul
filly	klisnička
film	blána
film	film
film	filmovat
film	filmový
film	fólie
film	tenká vrstva
film	tenký povlak
film	vrstvička
filming	filmování
filming	natáčení
filmmaker	filmař
filmmaker	producent
filmmaker	režisér
filmy	průsvitný
filter	filtr
filter	filtrovat
filter	pronikat
filter	proniknout
filth	bláto
filth	necudnost
filth	nečistota
filth	špína
filthily	špinavě
filthiness	nepoctivost
filthiness	nečestnost
filthiness	zašpiněnost
filthiness	špinavost
filthy	nečistý
filthy	obscénní
filthy	špinavý
filtrate	filtrovat
filtrate	filtrát
filtration	cezení
filtration	filtrace
fin	ploutev
final	definitivní
final	finále
final	finální
final	finálový
final	koncový
final	konečný
final	poslední
final	rozhodující
final	výsledný
final	závěr
final	závěrečná zkouška
final	závěrečný
