interlinear	meziřádkový
interlink	mezičlánek
interlink	propojit
interlock	propojení
interlock	spojení
interlocutor	mluvčí
interlocutory	prozatímní
interlocutory	předběžný
interloper	vetřelec
interlude	vložka
intermarriage	smíšené manželství
intermarriage	sňatek
intermarry	vdávat se navzá¡jem
intermediary	intermediární
intermediary	prostředník
intermediary	zprostředkovatel
intermediate	meziprodukt
intermediate	polotovar
intermediate	prostřední
intermediate	středně pokročilý
intermediation	zprostředkování
interment	pohřeb
intermezzo	mezihra
interminable	nekonečný
interminably	nekonečně
intermingle	promíchat
intermingle	smísit
intermission	pauza
intermission	přerušení
intermission	přestávka
intermittent	nesouvislý
intermittent	občasný
intermittent	přerušovaný
intermittent	střídavý
intermittently	nesouvisle
intermittently	přerušovaně
intermix	smísit
intermolecular	mezimolekulový
intermolecular	mezimolekulární
intern	internovat
intern	stážista
internal	interní
internal	tuzemský
internal	vnitřní
internalisation	internalizace
internalise	internalizovat
internalise	přijmout za vlastní
internalization	internalizace
internalize	internalizovat
internalize	přijmout za vlastní
internally	interně
internally	vnitřně
international	internacionál
international	internacionální
international	mezinárodní
internationalisation	internacionalizace
internationalisation	zmezinárodnění
internationalise	zmezinárodnit
internationalism	internacionalismus
internationalist	internacionalista
internationalization	zmezinárodnění
internationally	internacionálně
internationally	mezinárodně
internationally	světově
internecine	bratrovražedný
internee	internovaná osoba
internet	internet
internist	internista
internment	internace
internship	počáteční praxe
internship	zácvik
interpellation	interpelace
interpenetrate	proniknout
interpenetration	proniknutí
interpenetration	vzájemný průnik
interpersonal	mezilidský
interplanetary	meziplanetární
interplay	souhra
interpolate	interpolovat
interpolation	interpolace
interpose	zakročit
interpose	zasáhnout
interposition	vsunutí
interposition	zákrok
interpret	interpretovat
interpret	tlumočit
interpret	vykládat
interpret	vyložit
interpretable	vyložitelný
interpretable	vysvětlitelný
interpretation	interpretace
interpretation	tlumočení
interpretation	výklad
interpretative	interpretační
interpretative	výkladový
interpreter	interpret
interpreter	tlumočník
interpreting	interpretování
interpreting	interpretující
interpretive	interpretační
interpretive	výkladový
interracial	mezirasový
interregnum	bezvládí
interrelatedness	oboustranný vztah
interrelation	vzájemný vztah
interrelationship	vztah
interrelationship	vzájemný vztah
interrogate	tázat se
interrogate	vyslechnout
interrogate	vyslýchat
interrogation	výslech
interrogative	pátravý
interrogative	tázavý
interrogative	všetečný
interrogative	zvídavý
interrogatively	tázavě
interrogator	vyšetřovatel
interrogatory	dotazník
interrogatory	vyšetřovací
interrogatory	výslech
interrupt	přerušení
interrupt	přerušit
interrupter	přerušovač
interruption	přerušení
intersect	křižovat
intersect	protínat
intersect	protíná
intersect	přetínat
intersection	křižovatka
intersection	průnik
intersection	průsečík
intersex	mezipohlaví
intersperse	promíchat
interstate	mezistátní
interstellar	mezihvězdný
interstitial	intersticiální
interstitial	meziprostorový
intertidal	příbřežní
intertwine	proplétat
interval	interval
interval	mezidobí
interval	pauza
interval	přestávka
intervene	intervenovat
intervene	zakročit
intervene	zasahovat
intervene	zasáhnout
intervening	intervenující
intervening	zasahování
intervention	intervence
intervention	intervenování
intervention	zakročení
intervention	zákrok
intervention	zásah
interview	dotazovací
interview	interview
interview	osobní rozhovor
interview	pohovor
interview	rozhovor
interviewee	dotazovaný
interviewee	tázaný
interviewer	dotazovatel
interviewer	tazatel
interweave	proplést
interweave	protkat
interwoven	protkaný
intestate	bez závěti
intestinal	střevní
intestine	střevo
intifada	povstání proti Izraeli
intimacy	důvěrnost
intimacy	intimnost
intimate	detailní
intimate	dokonalý
intimate	dát na srozuměnou
intimate	důvěrný
intimate	intimní
intimate	naznačit
intimately	důvěrně
intimation	náznak
intimidate	zastrašit
intimidate	zastrašovat
intimidation	zastrašování
into	do
intolerable	nesnesitelný
intolerably	neomluvitelně
intolerance	nesnášenlivost
intolerant	nesnášenlivý
intolerant	netolerantní
intonation	intonace
intone	intonovat
intoxicant	intoxikační
intoxicant	omamný
intoxicant	opojný
intoxicate	omámit
intoxicate	opojit
intoxicate	opít
intoxication	intoxikace
intoxication	omámení
intoxication	opilost
