play	zápas
playable	hratelný
playback	playback
playback	reprodukce
playbill	divadelní plakát
playboy	playboy
player	herec
player	hráč
player	přehrávač
playful	dovádivý
playful	hravý
playful	humorný
playful	laškovný
playful	rozpustilý
playful	žertovný
playfully	hravě
playfulness	hravost
playfulness	rozpustilost
playgoer	návštěvník divadla
playground	hřiště
playhouse	domeček
playing	hrací
playing	hrající
playing	hraní
playmate	kamarád
playmate	spoluhráč
playoff	play-off
playoff	playoff
playpen	dětská ohrádka
playroom	dětský pokoj
playroom	herna
playtime	volno
playtime	čas hry
playwright	autor divadelní hry
playwright	dramatik
plaza	náměstí
plaza	tržiště
plea	námitka
plea	obhajoba u soudu
plea	odpověď obžalovaného
plea	omluva
plea	prosba
plea	záminka
plead	hájit
plead	hájit se
plead	obhajovat
plead	omlouvat se
plead	prosit
plead	přiznat se
plead	soudit se
plead	vymlouvat se
plead	žádat
pleader	obhájce
pleading	naléhavý
pleading	prosebný
pleading	úpěnlivý
pleadingly	úpěnlivě
pleasance	potěšení
pleasant	milý
pleasant	pěkný
pleasant	příjemný
pleasant	sympatický
pleasantly	mile
pleasantly	pěkně
pleasantly	příjemně
pleasantness	příjemnost
pleasantry	legrácka
pleasantry	vtip
pleasantry	žert
please	líbit se
please	potěšit
please	prosím
please	prosím vás
please	těšit
pleasing	atraktivní
pleasing	milý
pleasing	příjemný
pleasing	půvabný
pleasingly	příjemně
pleasurable	příjemný
pleasurably	příjemně
pleasure	potěšení
pleasure	požitek
pleasure	radost
pleasure	rozkoš
pleat	plisovat
pleat	záhyb
plebeian	obyčejný
plebeian	plebejec
plebeian	plebejský
plebiscite	lidové hlasování
plebiscite	plebiscit
plebiscite	referendum
plectrum	trsátko
pledge	ručení
pledge	slib
pledge	slíbit
pledge	zavázat se
pledge	záruka
pledge	zástava
pledge	závazek
pledger	dlužník
pledger	ručitel
pledger	zástavce
plenary	plenární
plenipotentiary	zplnomocněnec
plenitude	absolutnost
plenitude	hojnost
plenitude	plnost
plenteous	hojný
plenteously	hojně
plentiful	bohatý
plentiful	hojný
plentiful	plodný
plentiful	početný
plentiful	úrodný
plentifully	hojně
plenty	hodně
plenty	hojnost
plenty	množství
plenty	spousta
plenum	plénum
plesiosaur	plesiosaurus
pleura	pohrudnice
pleural	pohrudniční
pleurisy	pleuritida
pleurisy	zánět pohrudnice
plexiglass	plexisklo
plexus	plexus
plexus	svazek cév nebo nervů
pliable	ochotný
pliable	ohebný
pliant	měkký
pliant	plastický
pliant	poddajný
pliant	přizpůsobivý
pliant	tvárný
pliant	vláčný
pliers	kleště
plight	brynda
plight	nepříjemná situace
plight	přísahat
plight	vážná situace
plinth	podstavec
plinth	sokl
plod	trmácet
plonk	dunět
plonk	žuchnout
plop	žbluňknutí
plosive	výbuchová souhláska
plot	intrika
plot	intrikovat
plot	komplot
plot	mapovat
plot	parcela
plot	pikle
plot	pleticha
plot	pozemek
plot	spiknutí
plot	zápletka
plotter	kreslič
plotter	souřadnicový zapisovač
plotter	spiklenec
ploughman	oráč
ploughshare	radlice
plover	čejka
plow	brázdit
plow	orat
plow	pluh
plow	pluhový
plow	shrnovač
plowman	oráč
ploy	trik
pluck	droby
pluck	oškubat
pluck	trhat
pluck	trhnout
pluck	trhnutí
pluck	utrhnout
pluck	vytrhat
pluck	vytrhávat
pluck	škubat
pluck	škubnout
pluck	škubnutí
plucky	odvážný
plucky	statečný
plug	banánek
plug	hmoždinka
plug	přípojka
plug	reklama
plug	ucpat
plug	ucpávka
plug	utěsnit
plug	zacpat
plug	zástrčka
plug	zásuvka
plug	zátka
plughole	díra na špunt
plughole	odtok např. umyvadla
plum	bluma
