equally	vyrovnaně
equanimity	rovnováha
equanimity	vyrovnanost
equate	srovnat
equate	srovnávat
equation	rovnice
equator	rovník
equatorial	ekvatoriální
equatorial	rovníkový
equerry	královský správce stájí
equestrian	jezdec
equiangular	rovnoúhlový
equiangular	stejnoúhelný
equidistant	ekvidistantní
equidistant	stejně vzdálený
equilateral	rovnostranný
equilibrate	vyrovnat
equilibrate	vyvážit
equilibrium	rovnováha
equilibrium	vyváženost
equine	koňský
equine	kůň
equinoctial	ekvinokciální
equinoctial	ekvinokční
equinoctial	rovnodenní
equinox	rovnodennost
equip	vybavit
equip	vyzbrojit
equipage	ekvipáž
equipage	vybavení
equipment	přístroj
equipment	vybavení
equipment	výbava
equipment	výstroj
equipment	zařízení
equipoise	rovnováha
equipotent	ekvivalentní
equipotent	rovnomocný
equitable	spravedlivý
equitably	nestranně
equitably	spravedlivě
equity	ekvitní
equity	rovnost
equity	spravedlnost
equity	vlastní jmění akciové společnosti
equity	vlastní kapitál
equity	vlastní kapitál akciové společnosti
equivalence	rovnocennost
equivalence	shoda
equivalent	ekvivalent
equivalent	ekvivalentní
equivalent	obdoba
equivalent	odpovídající
equivalent	protihodnota
equivalent	protějšek
equivalent	rovnocenný
equivocal	dvojsmyslný
equivocal	dvojznačný
equivocal	neurčitý
equivocation	dvojsmyslnost
equivocation	dvojznačnost
equivocation	ekvivokace
era	epocha
era	letopočet
era	období
era	věk
era	éra
eradicate	vyhladit
eradicate	vyhubit
eradicate	vykořenit
eradicate	vymýtit
eradicate	vytrhnout z kořene
eradication	eradikace
eradication	vyhlazení
eradication	vyhubení
eradication	vymýcení
erasable	vymazatelný
erase	gumovat
erase	smazat
erase	vygumovat
erase	vyhladit
erase	vymazat
erase	vymazávat
eraser	guma
eraser	zmizík
erasure	smazání
erect	postavit
erect	vybudovat
erect	vztyčený
erect	vztyčit
erect	ztopořit se
erectile	erektilní
erectile	topořivý
erection	erekce
erection	montáž
erection	postavení
erection	vztyčení
erection	zdvižení
erection	ztopoření
erg	erg
ergo	proto
ergo	tedy
ergo	tudíž
ergonomic	ergonomický
ergot	námel
erica	vřes
ermine	hermelín
ermine	hranostaj
ermine	kožešina hermelín
erne	orel mořský
erode	erodovat
erode	nahlodat
erode	rozdrobit se
erode	rozežrat
erode	rozhlodat
erode	rozleptat
erode	rozpadnout se
erode	vymlít
erogenous	erotogenní
erosion	eroze
erosion	rozrušení
erosive	erozivní
erosive	erozní
erotic	erotický
erotic	erotika
erotic	milostný
erotic	smyslný
erotically	eroticky
eroticism	erotismus
eroticism	erotičnost
eroticism	smyslnost
erotism	erotičnost
erotism	smyslnost
err	chybit
err	chybovat
err	mýlit se
errand	pochůzka
errand	záležitost
errant	bludný
errant	neetický
erratic	kolísavý
erratic	nevyzpytatelný
erratically	nevyzpytatelně
erratum	tisková chyba
erroneous	chybný
erroneous	klamný
erroneous	nesprávný
erroneously	chybně
error	blud
error	chyba
error	mýlka
error	odchylka
error	omyl
error	přehmat
error	vada
ersatz	náhradní
ersatz	náhražkový
erstwhile	dřívější
erstwhile	někdejší
erudite	erudovaný
erudite	učený
erudition	erudice
erudition	erudovanost
erudition	učenost
erupt	vypuknout
eruption	erupce
eruption	erupční
eruption	vypuknutí
eruption	výbuch
eruptive	eruptivní
eruptive	sopečný
erysipelas	erysipel
erythema	erytém
erythema	zarudnutí kůže
erythrocyte	erytrocyt
erythrocyte	červená krvinka
erythromycin	erytromycin
escalate	eskalovat
escalate	vystupňovat
escalation	eskalace
escalation	vystupňování
escalator	eskalátor
escalator	pohyblivé schodiště
escapade	eskapáda
escapade	nerozvážný čin
escape	ujít
escape	unikat
escape	uniknout
escape	uniknutí
escape	uprchnout
escape	utéci
escape	únik
escape	únikový
escape	útěk
escapee	uprchlík
escapement	krokové ústrojí
escapism	unikání před skutečností
escapist	uprchlík
escapist	únikový
escarpment	příkrá stěna skály
