shutting	zavření
shuttle	kyvadlová doprava
shuttle	pendlovat
shuttle	raketoplán
shuttlecock	badmintonový míček
shy	bázlivý
shy	nesmělý
shy	ostýchavý
shy	plachý
shy	plašit se
shy	stydlivý
shyly	plaše
shyness	plachost
shyster	podvodný právník
sial	sial
sib	příbuzný
sib	sourozenec
sibilant	sykavkový
sibyl	věštkyně
sick	chorý
sick	menstruující
sick	morbidní
sick	nemocen
sick	nemocný
sick	slabý
sick	zvracející
sick	zvratek
sicken	churavět
sicken	znechutit
sickeningly	odporně
sickeningly	ohavně
sickle	srp
sickly	mdlý
sickly	stonavý
sickness	nemoc
sickness	nevolnost
sickroom	ošetřovna
side	bok
side	boční
side	hledisko
side	nadutost
side	okrajový
side	postranice
side	postranní
side	strana
side	stranit
side	stránka
side	stěna
side	vedlejší
side	část
side-glance	pohled stranou
sideboard	postranice
sideboard	příborník
sidecar	postranní vozík motocyklu
sidekick	partner
sidekick	parťák
sidekick	pomocník
sidelight	boční světlo
sidelight	poznámka na okraj
sideline	přidružená výroba
sidelong	kosý
sidelong	postranní
sidelong	šikmý
sidereal	hvězdný
siderite	ocelek
siderite	siderit
sideshow	vedlejší atrakce
sideshow	vedlejší přestavení
sidestep	uhnout
sidestep	uhnutí
sidetrack	odbočovat
sidewalk	chodník
sidewall	bočnice
sidewinder	chřestýš rohatý
sidle	plížit se
siege	obležení
siege	obléhání
sienna	siena
sienna	žlutohnědý
sierra	pohoří
siesta	polední klid
siesta	siesta
sieve	prošetřit
sieve	síto
sieve	řešeto
sift	prosévat
sift	prošetřit
sift	rozlišovat
sigh	povzdech
sigh	povzdechnutí
sigh	vzdech
sigh	vzdychat
sigh	vzdychnout
sigh	vzdychnutí
sight	památka
sight	pamětihodnost
sight	podívaná
sight	pohled
sight	vidění
sight	zahlédnout
sight	zaměření
sight	zpozorovat
sight	zrak
sight-read	zpívat bez přípravy
sightless	nevidomý
sightless	slepý
sightseer	turista
sightseer	výletník
sigma	sigma
sigmoid	esovitý
sigmoid	půlměsícovitý
sigmoidoscope	sigmoidoskop
sign	dát pokyn
sign	dát znamení
sign	nápis
sign	označení
sign	označit
sign	podepisovat
sign	podepsat
sign	podepsat se
sign	podpis
sign	poznačit
sign	projev
sign	reklamní tabule
sign	signál
sign	stopa
sign	symbol
sign	tabule
sign	tabulka
sign	ukazatel
sign	vývěska
sign	znak
sign	znamení
sign	znaménko
sign	značit
sign	značka
sign	značkovat
sign	známka
sign	štítek
signal	signalizovat
signal	signál
signal	znamení
signal-to-noise	odstup signálu od šumu
signaller	signalista
signally	významně
signalman	hradlař
signalman	signalista
signatory	signatář
signatory	signatářský
signature	parafa
signature	podepsání
signature	podpis
signature	předznamenání
signature	signatura
signature	značka
signboard	informační tabule
signboard	vývěsní štít
signer	signatář
signet	pečeť
significance	význam
significant	důležitý
significant	podstatný
significant	příznačný
significant	významný
significant	význačný
significant	závažný
significantly	podstatně
significantly	významně
signification	označení
signifier	signifiant
signify	naznačit
signify	znamenat
signing	gestikulace
signing	podepsání
signor	pán
signora	paní
signore	pán
signorina	slečna
signpost	směrovka
signpost	ukazatel
silage	siláž
silence	mlčení
silence	odhlučnit
silence	odmlka
silence	odmlčení
silence	pomlka
silence	ticho
silence	tiše!
silence	tlumit
silence	umlčet
silence	utišit
silence	zmlknout
silence	ztlumit
silencer	tlumič
silent	klidný
silent	mlčenlivý
silent	mlčící
silent	tichý
silent	zamlklý
silently	mlčky
