arid	suchý
aridity	sucho
aridity	suchost
aright	správně
arise	nastat
arise	objevit se
arise	vyplývat
arise	vyskytnout se
arise	vyvstat
arise	vyvstávat
arise	vznikat
arise	vzniknout
aristocracy	aristokracie
aristocracy	šlechta
aristocrat	aristokrat
aristocrat	šlechtic
aristocratic	aristokratický
aristocratic	šlechtický
arithmetic	aritmetický
arithmetic	aritmetika
arithmetic	početní
arithmetic	počty
arithmetical	aritmetický
ark	archa
ark	míchač
arm	ozbrojit
arm	ozbrojovat
arm	paže
arm	páka
arm	ruka
arm	vyzbrojit
arm	vyzbrojit se
arm	zbraň
arm	zbrojit
armada	válečné loďstvo
armadillo	pásovec
armament	vyzbrojení
armament	výzbroj
armament	zbrojení
armamentarium	instrumentář
armature	armatura
armature	kotva elektrické cívky
armature	kotva elektromagnetu
armature	zbroj
armband	nárameník
armband	páska na rukávu
armchair	křeslo
armchair	lenoška
armful	náruč
armhole	průramek
armiger	zbrojnoš
armistice	příměří
armless	jsoucí bez paží
armor	brnění
armorial	erbovní
armorial	heraldický
armory	arzenál
armory	zbrojnice
armory	zbrojovka
armour	armovat
armour	brnění
armour	kování
armour	krunýř
armour	obrnit
armour	obrnění
armour	opancéřovat
armour	pancéř
armour	pancéřovat
armour	pancéřování
armour	výzbroj
armour	zbroj
armourer	zbrojíř
armoury	arzenál
armoury	zbrojnice
armpit	podpaždí
armpit	podpažní jamka
armpit	podpaží
armrest	opěradlo
armrest	opěrka
army	armáda
army	armádní
army	vojenský
army	vojsko
arnica	arnika
aroma	aroma
aroma	vůně
aromatic	aromatický
aromatic	vonný
aromatic	voňavý
around	dokola
around	kolem
around	okolo
around-the-clock	celodenní
arousal	vzrušení
arouse	rozdráždit
arouse	vyburcovat
arouse	vyvolat
arouse	vyvolávat
arouse	vzbudit
arouse	vzbuzovat
arouse	vzrušit
arpeggio	arpeggio
arraignment	obžaloba
arrange	dojednat
arrange	dát do pořádku
arrange	pořádat
arrange	sjednat
arrange	stanovit
arrange	umluvit
arrange	umísťovat
arrange	uspořádat
arrange	zarovnat
arrange	zařizovat
arrange	zařídit
arrangement	aranžmá
arrangement	dohoda
arrangement	dojednání
arrangement	rozmístění
arrangement	seřazení
arrangement	ujednání
arrangement	urovnání
arrangement	uspořádání
arrangement	zařízení
arrangement	úmluva
arranger	aranžér
arranging	aranžování
arranging	uspořádání
arranging	zprostředkování
arrant	nehorázný
arrant	úplný
array	houf
array	pole
array	sada
array	seskupit
array	seřadit
array	sešikovat
array	soubor
array	uspořádání
array	šikovat
arrears	nedodělky
arrears	nedoplatky
arrest	aretovat
arrest	uvalení vazby
arrest	zadržet
arrest	zatknout
arrest	zatčení
arrhythmia	arytmie
arrival	příchod
arrival	příjezd
arrival	přílet
arrive	dojet
arrive	dorazit
arrive	přicestovat
arrive	přijet
arrive	přijít
arrive	přijíždět
arrive	přiletět
arrive	připlout
arriving	přijíždějící
arrogance	arogance
arrogance	arogantnost
arrogance	domýšlivost
arrogance	drzost
arrogance	namyšlenost
arrogant	arogantní
arrogant	domýšlivý
arrogant	povýšený
arrogantly	arogantně
arrogate	přisuzovat
arrow	ukazatel
arrow	šipka
arrow	šíp
arrowhead	hrot šípu
arrowroot	druh rostliny
arrowroot	maranta třtinová
arse	prdel
arsehole	konečník
arsenal	arsenál
arsenal	arzenál
arsenal	zbrojnice
arsenic	arsen
arsenic	arzen
arsenic	arzenik
arsenic	arzén
arsenical	arzénový
arsenide	arsenid
arsenide	arzenid
arson	žhářství
arsonist	žhář
art	dovednost
art	lest
art	umění
art	zručnost
art	šikovnost
artefact	artefakt
artefactual	artefaktový
arterial	arteriální
arterial	magistrála
arterial	tepenný
arteriosclerosis	arterioskleróza
