selfishly	sobecky
selfishness	sobectví
selfless	nesobecký
selfless	obětavý
selflessly	nesobecky
selflessly	obětavě
selflessness	nesobeckost
selflessness	obětavost
selfsame	přesně takový
selfsame	stejný
selfsame	tentýž
selfsame	týž
sell	napálit
sell	obchodovat
sell	podfuk
sell	prodat
sell	prodej
sell	prodávat
sell	prodávání
sell	zaprodat
sell	švindl
seller	prodavač
seller	prodejce
seller	prodávající
selling	prodávající
sellout	vyprodané přestavení
sellout	vyprodáno
sellout	vyprodání zásob
sellout	výprodej
sellout	zrada
seltzer	minerálka
seltzer	sodovka
semantic	sémantický
semantically	sémanticky
semaphore	semafor
semaphore	signalizace
semblance	zdání
semen	sperma
semester	pololetí
semester	semestr
semi	polo
semi	semifinále
semi	tahač s návěsem
semiannual	pololetní
semiarid	polovyprahlý
semibreve	celá nota
semicircle	polokruh
semicircle	půlkruh
semicircular	polokruhový
semicolon	středník
semiconductor	polovodič
semifinal	semifinále
seminal	mající semena
seminar	seminář
seminary	seminární
seminary	seminář
semiotic	semiotický
semitone	půltón
semitransparent	poloprůhledný
semolina	krupice
sempiternal	věčný
senate	senát
senator	senátor
senatorial	senátorský
send	odeslat
send	poslat
send	posílat
send	pošli
send	vyslat
send	zaslat
send	zasílat
send-off	přijít se rozloučit
sender	odesilatel
sender	odesílatel
sending	odeslání
sending	odesílání
sending	posílající
sending	posílání
sending	vysílající
sending	zasílající
sending	zasílání
senescence	stárnutí
senescence	stáří
senescent	stařecký
senescent	stárnoucí
seneschal	majordom
senile	senilní
senility	senilita
senior	nadřazený
senior	nadřízený
senior	senior
senior	starší
senior	vyšší
seniority	služební pořadí
seniority	služební věk
senna	druh léčivé rostliny
sensation	rozruch
sensation	senzace
sensational	senzační
sensationalism	senzacechtivost
sensationalist	sezacechtivý
sensationally	překvapivě
sensationally	senzačně
sense	cit
sense	rozum
sense	smysl
sense	tušit
sense	vnímat
sense	vycítit
sense	vytušit
sense	význam
senseless	nesmyslný
senseless	omráčený
senselessly	nesmyslně
senselessness	bezvědomí
senselessness	nesmyslnost
senselessness	zbytečnost
sensibility	citlivost
sensibility	jemnocit
sensible	citelný
sensible	citlivý
sensibly	rozumně
sensing	cítící
sensing	snímání
sensing	tušící
sensitisation	zcitlivění
sensitive	citlivý
sensitive	citový
sensitive	dráždivý
sensitive	senzitivní
sensitive	smyslový
sensitively	citlivě
sensitiveness	citlivost
sensitivity	choulostivost
sensitivity	citlivost
sensitivity	přecitlivělost
sensitivity	senzitivita
sensitization	senzibilizace
sensitize	učinit citlivým
sensor	senzor
sensor	snímač
sensor	čidlo
sensorial	senzorický
sensory	senzorický
sensory	smyslový
sensual	senzuální
sensual	smyslný
sensual	smyslový
sensualist	senzualista
sensualist	smyslný člověk
sensuality	smyslnost
sensually	smyslně
sensuous	smyslný
sensuous	smyslový
sensuous	živočišný
sensuously	smyslově
sensuousness	senzuálnost
sensuousness	smyslnost
sent	poslal
sentence	odsoudit
sentence	ortel
sentence	rozsoudit
sentence	rozsudek
sentence	rozsudek o trestu
sentence	rčení
sentence	trest
sentence	uložit trest
sentence	vynést rozsudek
sentence	výrok
sentence	věta
sentence	větný
sentential	rozsudkový
sentential	větný
sententious	aforistický
sententious	bombastický
sententiously	jadrně
sententiously	výstižně
sentience	cítění
sentience	vnímání
sentient	vnímající
sentiment	cit
sentiment	cítění
sentimental	citový
sentimental	sentimentální
sentimentalist	sentimentální člověk
sentimentality	sentimentalita
sentimentally	sentimentálně
sentinel	hlídka
sentinel	indikátor
sentinel	ochránce
sentinel	stráž
sentry	hlídka
sentry	stráž
separability	oddělitelnost
separable	oddělitelný
separable	odlučitelný
separate	izolovaný
separate	oddělený
separate	oddělit
separate	oddělovat
