percentage	procento
percentile	percentil
percept	vjem
perceptibility	patrnost
perceptibility	postřehnutelnost
perceptible	citelný
perceptible	postřehnutelný
perceptible	pozorovatelný
perceptible	vnímatelný
perceptible	znatelný
perceptible	zřetelný
perceptibly	zřetelně
perception	bystrost
perception	dojem
perception	pojem
perception	postřeh
perception	vnímavost
perception	vnímání
perceptive	bystrý
perceptive	vnímavý
perceptively	vnímavě
perceptiveness	vnímání
perceptual	vnímavostní
perceptual	vnímavostní, percepční, perceptuální
perch	bidlo
perch	bidélko
perchance	možná
perchance	snad
perchlorate	chloristan
percipient	chápavý
percipient	vnímavý
percolate	cedit
percolate	prosakovat
percolation	filtrování
percolation	perkolace
percolator	kávovar
percussion	bicí
percussionist	bubeník
percussive	perkusní
percutaneous	perkutánní
percutaneous	pronikající kůží
perdition	peklo
perdition	zatracení
perdition	zkáza
perdition	zničení
perdition	záhuba
peregrination	cestování
peregrination	putování
peregrine	stěhovavý
peremptorily	rezolutně
peremptory	rezolutní
perennial	stálý
perennial	trvalý
perennial	víceletý
perennial	věčný
perennially	stále
perennially	trvale
perestroika	přestavba
perfect	bezvadný
perfect	dokonalý
perfect	perfektní
perfect	přesný
perfectibility	blížení se k dokonalosti
perfection	dokonalost
perfection	perfekce
perfection	perfektnost
perfection	zdokonalování
perfectionism	perfekcionismus
perfectionism	perfekcionizmus
perfectionist	perfekcionista
perfective	zdokonalující
perfectly	dokonale
perfidious	proradný
perfidious	věrolomný
perfidious	zrádný
perfidy	bezcharakternost
perfidy	podlost
perfidy	proradnost
perfidy	věrolomnost
perfidy	zrada
perforation	děrování
perforation	perforace
perforce	chtě nechtě
perforce	z nutnosti
perform	hrát
perform	konat
perform	provádět
perform	provést
perform	předvádět
perform	předvést
perform	splnit
perform	vykonat
perform	vystoupit
perform	vystupovat
perform	účinkovat
performance	provedení
performance	představení
performance	výkon
performance	výkonnost
performance	výtvor
performance	čin
performer	umělec
performer	výkonný
performer	účinkující
performing	provádění
performing	vykonávající
performing	účinkování
perfume	naparfémovat
perfume	parfemovat
perfume	parfém
perfume	parfémový
perfume	voňavka
perfumer	voňavkář
perfumery	parfumerie
perfumery	voňavky
perfumery	voňavkářství
perfunctorily	formálně
perfunctorily	povrchně
perfunctory	bez zájmu
perfunctory	letmý
perfunctory	netečný
perfunctory	povrchní
perfunctory	zběžný
perfusion	perfůze
perfusion	zalití
pergola	pergola
perhaps	možná
perhaps	snad
peri	kráska
pericarditis	zánět osrdečníku
pericarp	oplodí
perihelion	přísluní
peril	nebezpečí
peril	riziko
perilous	nebezpečný
perilous	riskantní
perilously	nebezpečně
perimeter	obvod
perinatal	porodový
perineal	hrázový
perineal	perineální
perineum	hráz mezi pochvou a konečníkem
period	doba
period	dobový
period	epocha
period	etapa
period	interval
period	lhůta
period	menstruace
period	měsíčky
period	období
period	perioda
period	tečka
period	údobí
periodic	periodický
periodic	pravidelný
periodical	magazín
periodical	periodický
periodical	časopis
periodically	periodicky
periodically	pravidelně
periodicity	periodicita
periodicity	periodičnost
periodicity	pravidelnost
periodontal	dásňový
periodontal	periodontální
periosteum	okostice
peripatetic	kočovný
peripatetic	potulný
peripheral	okrajový
peripheral	periferní
peripherally	okrajově
periphery	obvod
periphrasis	opis
periphrasis	perifráze
periscope	periskop
perish	hynout
perish	uhynout
perish	zahynout
perish	zaniknout
perishable	kazící se
perishable	netrvanlivý
perishable	pomíjivý
perishable	zkazitelné
peristalsis	peristaltika
peristyle	peristyl
peristyle	sloupořadí
peritoneal	peritoneální
peritoneal	pobřišnicový
peritoneum	podbřišnice
peritonitis	peritonitida
peritonitis	zánět podbřišnice
periwinkle	brčál
perjure	křivě přísahat
perjurer	křivopřísežník
perjury	křivá přísaha
perk	bublat
perk	naparovat se
perk	nést hlavu vzhůru
perk	nést se
