odd	zvláštní
oddball	podivín
oddity	podivnost
oddity	výstřednost
oddly	podivně
oddly	zvláštně
oddness	podivnost
oddness	podivínství
odds-on	pravděpodobný
ode	óda
odious	odporný
odious	protivný
odiously	hnusně
odium	opovržení
odometer	počitadlo kilometrů
odoriferous	aromatický
odoriferous	voňavý
odorous	aromatický
odorous	vonný
odorous	voňavý
odour	aroma
odour	pach
odour	vůně
odourless	bez vůně
odourless	bez zápachu
odourless	nevonící
odyssey	odysea
oecumenical	ekumenický
oedema	edém
oesophagus	jícen
oestradiol	estradiol
oestrogen	estrogen
oestrus	chtíč
oeuvre	životní dílo
of	na
of	od
of	vyjádření druhého pádu
of	z
of	ze
off	pryč
off	vypnuto
off	vypnutý
off	z
off	ze
off-key	rozladěný
off-licence	prodej lihovin přes ulici
off-limits	zakázaný
off-line	mimo síť
off-line	nepřipojený na síť
off-peak	mimošpičkový
off-road	terénní
off-season	mimo sezónu
off-the-cuff	bez přípravy
off-white	našedlý
off-white	šedobílý
offal	vnitřnosti
offbeat	neobvyklý
offence	delikt
offence	porušení
offence	provinění
offence	přestupek
offence	urážka
offend	poranit
offend	ublížit
offend	urazit
offend	urážet
offender	delikvent
offender	pachatel
offender	viník
offending	pohoršující
offending	problematický
offending	urážející
offense	přestupek
offense	trestný čin
offense	urážka
offense	útok
offensive	ofenziva
offensive	ofenzivní
offensive	urážlivý
offensive	výbojný
offensive	útok
offensive	útočný
offensively	urážlivě
offensiveness	nechutnost
offensiveness	nepřístojnost
offer	nabídka
offer	nabídnout
offer	nabídnutí
offer	nabízet
offer	návrh
offer	poskytnout
offer	poskytovat
offering	emise akcií
offering	nabídka
offering	oběť
offertory	obětování
offhand	bez obalu
offhand	bez okolků
offhand	bez přípravy
offhand	improvizovaný
offhand	ledabylý
offhand	nedbalý
offhand	nepřipravený
offhand	okamžitě
offhand	pohotový
offhand	rovnou
offhand	spatra
offhandedly	bryskně
office	funkce
office	kancelář
office	kancelářský
office	ministerstvo
office	ordinace
office	úřad
office	úřadovna
officer	důstojník
officer	policista
officer	referent
officer	úředník
official	oficiální
official	úřední
official	úředník
officialdom	byrokracie
officially	oficiálně
officiant	duchovní
officiant	kněz
officiate	celebrovat
officiate	konat obřad
officious	vlezlý
officious	všetečný
officiously	všetečně
officiousness	všetečnost
offload	vykládat náklad
offload	vyložit
offset	kompenzace
offset	kompenzovat
offset	nahradit
offset	odnož
offset	ofset
offset	ofsetový tisk
offset	vykompenzovat
offset	vynahradit
offset	vyrovnat
offset	vyvážit
offset	výhonek
offset	šlahoun
offshoot	odnož
offshoot	výhonek
offshore	pobřežní
offside	ofsajd
offside	postavení mimo hru
offspring	potomci
offspring	potomek
offspring	potomstvo
offstage	mimo scénu
offstage	v zákulisí
offstage	za scénou
often	často
often	častý
oftentimes	častokrát
ogle	vrhat zamilované pohledy
ogre	obr
oh	ach
oh	jé
oh	ách!
oh	ó!
ohm	ohm
ohmic	ohmický
ohmic	ohmový
oil	mazat
oil	nafta
oil	naolejovat
oil	olej
oil	olejovat
oil	olejový
oil	ropa
oilcan	olejnička
oilcloth	voskové plátno
oiler	olejnička
oilfield	ložisko ropy
oilfield	naftové pole
oilfield	ropné pole
oiliness	olejnatost
oilman	olejář
oilseed	olejnaté semeno
oilskin	gumák
oilskin	voskované plátno
oily	olejnatý
oily	olejový
ointment	mast
okapi	okapi
okay	dobrá
okay	dobře
okay	fajn
okay	schválit
okay	souhlas
okra	okra
old	stará
old	starý
old-time	starodávný
