devilry	špatnost
devious	vychytralý
devious	vyhýbavý
deviously	vychytrale
deviousness	vychytralost
devise	navrhnout
devise	odkázat
devise	vymyslet
devise	vymyslit
devise	vynalézt
deviser	strůjce
deviser	vynálezce
devising	sestrojovaný
devising	vynalézaný
devoid	postrádající
devolution	degenerace
devolution	postoupení
devolution	přenesení
devolution	převedení
devolve	postoupit
devolve	převést
devote	obětovat
devote	věnovat
devote	zasvětit
devotedly	oddaně
devotee	ctitel
devotee	přívrženec
devotion	obětavost
devotion	oddanost
devotional	zbožný
devour	hltat
devour	pohltit
devour	sežrat
devour	strávit
devour	zhltnout
devour	zničit
devourer	hltoun
devout	oddaný
devout	upřímný
devout	vroucný
devout	zbožný
devoutly	oddaně
devoutly	pobožně
devoutness	oddanost
devoutness	upřímnost
dew	rosa
dewdrop	kapička rosy
dewlap	lalok
dewy	orosený
dexter	pravý
dexterity	obratnost
dexterity	zručnost
dexterous	obratný
dexterous	zručný
dexterous	šikovný
dexterously	obratně
dextrose	dextróza
dextrous	obratný
dextrous	zručný
dextrous	šikovný
diabetes	cukrovka
diabetic	diabetický
diabetic	diabetik
diabolic	pekelný
diabolic	ďábelský
diabolical	ďábelský
diabolically	ďábelsky
diachronic	diachronický
diacritical	diakritický
diadem	diadém
diadem	čelenka
diagnose	diagnostikovat
diagnose	diagnóza
diagnosis	diagnóza
diagnostic	diagnostický
diagnostician	diagnostik
diagonal	diagonála
diagonal	diagonální
diagonal	příčka
diagonal	úhlopříčka
diagonal	úhlopříčný
diagonally	úhlopříčně
diagram	diagram
diagram	schéma
diagrammatic	diagramatický
diagrammatic	schematický
diagrammatical	diagramový
dial	ciferník
dial	vytočit
dial	číselnice
dial	číselník
dialect	nářečí
dialectal	dialektický
dialectal	dialektový
dialectal	nářeční
dialectic	dialektický
dialectic	dialektika
dialectical	dialektický
dialectically	dialekticky
dialog	dialog
dialogue	dialog
dialogue	rozhovor
dialogue	rozmluva
dialysis	dialýza
diamante	umělé drahokamy
diameter	průměr
diametrical	diametrální
diametrically	diametrálně
diamine	diamin
diamond	diamant
diamond	démant
diamond	káro
diamondback	chřestýš diamantový
diapason	diapazón
diapason	ladička
diaper	dětská plenka
diaper	plena
diaper	plenka
diaper	plínka
diaphanous	průhledný
diaphanous	průsvitný
diaphragm	bránice
diaphragm	diafragma
diaphragm	pesar
diarist	pisatel deníku
diarrhoea	průjem
diarrhoeal	průjmový
diarrhoeic	průjmový
diary	deník
diary	diář
diary	kapesní kalendář
diary	zápisník
diastolic	diastolický
diathermy	diatermie
diathesis	diatéza
diatom	rozsivka
diatomic	dvojatomový
diatomic	dvojmocný
diatomite	diatomit
diatonic	diatonický
diatribe	invektiva
diatribe	ironická kritika
diatribe	jízlivost
diatribe	jízlivá kritika
diatribe	tiráda
diazepam	diazepam
dibble	sázecí kolík
dice	hra v kostky
dice	kostka
dice	kostky
dice	nakrájet na kostičky
dicey	riskantní
dichloride	dichlorid
dichotomous	dichotomický
dichotomy	dichotomie
dichroism	dichroismus
dichroism	dvojbarevnost
dick	penis
dicker	čachrovat
dickhead	blbec
dicky	bryndáček
dictate	diktovat
dictate	diktát
dictate	příkaz
dictation	diktát
dictator	diktátor
dictatorial	diktátorský
dictatorially	diktátorsky
dictatorship	diktatura
diction	dikce
dictionary	slovník
dictum	prohlášení
dictum	rčení
did	dělal
did	udělal
did	učinil
didactic	didaktický
didactic	poučný
diddle	ošidit
die	kostka
die	leknout
die	lisovadlo
die	lisovnice
die	odumřít
die	pojít
die	razidlo
die	uhynout
die	umírat
die	umřít
die	zemřít
die	zápustka
die-cast	lít pod tlakem do formy
die-hard	tvrdohlavý
die-hard	zpátečník
dieback	druh nemoci rostlin
diehard	zpátečník
dielectric	dielektrický
dielectric	dielektrikum
dielectric	nevodivý
diesel	diesel
