tiddlywinks	hra s žetony
tide	odliv
tide	proud
tide	příliv
tide	příliv a odliv
tide	slapy
tideway	slapový průliv
tidily	uklizeně
tidiness	pořádek
tidings	informace
tidings	zprávy
tidy	pořádný
tidy	uklidit
tidy	uklizený
tidy	uklízet
tidy	upravený
tidy	uspořádaný
tidy	uspořádat
tidy	úhledný
tidy	čistý
tie	kravata
tie	pojit
tie	poutko
tie	pouto
tie	pražec
tie	připoutat
tie	přivázat
tie	remíza
tie	spoutat
tie	svázat
tie	vazba
tie	vázanka
tie	vázat
tie	zavázat
tie	závazek
tie-up	spojení
tier	patro
tier	vazač
tier	vrstva
tier	úroveň
tier	řada
tiff	hádka
tiff	potyčka
tiff	rozepře
tiff	roztržka
tiffin	lehké jídlo
tiger	puma americká
tiger	tygr
tiger	tygří
tigerish	tygrovitý
tigerish	tygří
tight	napjatý
tight	napnutý
tight	nedostatkový
tight	pevný
tight	přísný
tight	sevřený
tight	těsný
tight	těsně
tight	utažený
tight	vzácný
tight-knit	pevně spojený
tight-knit	sepjatý
tighten	napnout
tighten	přitáhnutí
tighten	upevnit
tighten	upnout
tighten	utáhnout
tighten	utáhnutí
tighten	utěsnit
tightening	napínání
tightening	svírání
tightly	napjatě
tightly	pevně
tightly	těsně
tightly	ztuha
tightness	napjatost
tightness	těsnost
tightrope	lano
tightrope	nebezpečná situace
tightrope	visuté lano
tightrope	zrádná situace
tigress	tygřice
tile	dlaždice
tile	dlaždička
tile	kachel
tile	kachle
tile	kachlík
tile	obkládačka
tiler	dlaždič
till	až
till	až do
till	do
till	dokud ne
till	než
till	pokladna
tillage	orba
tiller	kormidlo
tilt	nachýlení
tilt	nachýlit
tilt	nahnout
tilt	naklonit
tilt	naklonění
tilt	nakloněný
tilt	naklánění
tilt	naklánět
tilt	náklon
tilt	překotit
tilt	převrhnout
tilt	sklon
tilt	sklopení
tilt	sklopit
tilt	sklápět
tilt	turnaj
tilt	vyklápět
tilt	zápas
tilth	obdělávaná půda
tilth	orba
timber	bednit
timber	dřevo
timber	dřevěný
timber	fošna
timber	strom
timber	stromy
timber	řezivo
timbre	témbr
timbre	zabarvení hlasu
timbrel	tamburína
time	chvíle
time	doba
time	epocha
time	lhůta
time	načasovat
time	odměřit
time	takt
time	tempo
time	termín
time	trvání
time	změřit čas
time	éra
time	čas
time	časovat
time	časový
time-out	přestávka
timekeeper	časoměřič
timeless	nadčasový
timeless	nekonečný
timelessness	nadčasovost
timelessness	věčnost
timeliness	dochvilnost
timely	aktuální
timely	příhodný
timely	příhodně
timely	včasný
timepiece	hodinky
timepiece	časoměr
timer	časovač
timetable	jízdní řád
timetable	rozvrh
timetable	rozvrh hodin
timetable	časový rozvrh
timeworn	opotřebovaný
timeworn	ošuntělý
timid	bojácný
timid	bázlivý
timid	nesmělý
timid	plachý
timidity	nesmělost
timidity	ostýchavost
timidity	plachost
timidity	stydlivost
timidness	bojácnost
timidness	bázlivost
timidness	plachost
timing	načasování
timorous	ustrašený
timorously	ustrašeně
timpani	tympány
tin	cín
tin	konzerva
tin	konzervovat
tin	plech
tin	plechovka
tin	pocínovat
tincture	barvivo
tincture	nádech
tincture	obarvit
tincture	tinktura
tincture	výtažek
tincture	zabarvení
tincture	zbarvit
tinder	troud
tinderbox	napjatý
tine	hrot
tine	hřeb
tine	špičák
tinfoil	alobal
tinfoil	staniol
tinge	zabarvení
tingle	brnění
