system	systém
systematic	soustavný
systematic	systematický
systematically	systematicky
systematisation	systematizace
systematise	systematizovat
systematization	systematizace
systematize	systematizovat
systemic	systémový
t	t
tab	poutko
tab	tabelovat
tab	tabulátor
tabby	drbna
table	deska
table	stolek
table	stolní
table	stůl
table	tabulka
tableau	tablo
tableau	výjev
tablecloth	ubrus
tablespoon	naběračka
tablespoon	polévková lžíce
tablet	tabletka
tableware	nádobí
taboo	tabu
tabor	bubínek
tabor	tamburína
tabular	plochý
tabular	tabulkový
tabulate	sestavit v tabulku
tabulate	tabelovat
tabulation	tabelace
tabulator	tabelátor
tabulator	tabulátor
tachograph	tachograf
tachograph	zapisující tachometr
tachometer	otáčkoměr
tachometer	rychloměr
tachometer	tachometr
tachycardia	tachykardie
tacit	nevyslovený
tacit	tichý
tacitly	tiše
taciturn	mlčenlivý
taciturn	zamlklý
taciturnity	nemluvnost
tack	cvoček
tack	hřeb
tack	hřebíček
tack	napínáček
tack	přibít
tack	přichycení
tack	přichytit
tack	připevnit
tack	připojit
tack	připíchnout
tack	připínáček
tack	stehování
tacker	spínací pistole
tackiness	lepkavost
tackle	kladka
tackle	kladkostroj
tackle	lanoví
tackle	nářadí
tackle	obtěžovat
tackle	pustit se
tackle	vypořádat se
tackle	vyřešit
tackle	vyřídit si to
tackle	výstroj
tackle	výzbroj
tackle	zvládnout
tackle	řešit
tackler	pozice hráče v rugby
tackling	kladkostroj
tackling	náčiní
tacky	lepkavý
tacky	nevkusný
tact	takt
tactful	taktní
tactfully	taktně
tactic	taktický
tactical	taktický
tactically	takticky
tactician	taktik
tactile	hmatový
tactility	hmatovost
tactless	netaktní
tactlessly	netaktně
tactlessness	beztaktnost
tactual	hmatový
tad	prcek
tadpole	pulec
taffeta	taft
taffy	karamela
tag	cedulka
tag	cenovka
tag	etiketa
tag	jmenovka
tag	přívěsek
tag	přívěska
tag	přívěšek
tag	visačka
tag	značka
tag	štítek
tail	chvost
tail	dokmit
tail	konec
tail	ocas
tail	ohon
tail	prdýlka
tail	zadek
tail	zadnice
tail	zadní část
tailback	kolona např. aut
tailcoat	frak
tailless	bezocasý
tailor	krejčí
tailor	přizpůsobit
tailor	upravit
tailor-made	šitý na míru
tailpiece	koncovka
tailpipe	výfuk
tailplane	část ocasu letadla
tailspin	vývrtka
taint	nakazit
taint	nákaza
taint	poskvrnit
taint	skvrna
take	brát
take	chopit se
take	chycení
take	chytit
take	donést
take	dovést
take	dovézt
take	nést
take	pojmout
take	popadnout
take	probrat
take	přijmout
take	přijímat
take	připustit
take	trvat
take	ubrat
take	ubírat
take	uchopit
take	uchvátit
take	ujmout se
take	utrpět
take	vzetí
take	vzít
take	výtěžek
take	zabrat
take	zachvátit
take	zachytit
take	záběr
take	získat
take-up	zdvihání
taken	vzali
taken	vzatý
taken	zaujatý
takeoff	rozmach
takeoff	vzestup
takeoff	vzlétnutí
takeover	převrat
takeover	převzetí
taker	příjemce
taking	bere
taking	odběr
taking	odnětí
taking	uchvacující
taking	vzetí
talc	mastek
talcum	mastek
tale	historka
tale	povídka
tale	vyprávění
talent	nadání
talent	talent
talisman	amulet
talk	hovor
talk	hovořit
talk	mluvit
talk	pohovor
talk	proslov
talk	přednáška
talk	rozhovor
talk	rozmluva
talk	řeč
talkative	hovorný
talkative	mnohomluvný
talkative	povídavý
talkative	tlachavý
talkative	ukecaný
talkative	upovídaný
talkative	užvaněný
talkativeness	hovornost
