managership	úřad manažera
manatee	kapustňák
mandamus	příkaz mezi soudy
mandarin	mandarinka
mandate	mandát
mandate	zmocnění
mandatory	mandátní
mandatory	nařízený
mandatory	povinný
mandatory	zmocněnec
mandatory	závazný
mandible	sanice
mandibular	mandibulární
mandolin	mandolína
mandolin	mandolínový
mandrake	mandragora
mandrel	vřeteno
mandrel	vřeteno soustruhu
mane	hříva
manful	rozhodný
manfully	statečně
manganese	mangan
mange	svrab
manger	žlab
mangle	mandl
mangle	mandlovat
mangle	rozdrtit
mango	mango
mangrove	mangle
mangrove	mangróvie
mangy	prašivý
manhandle	týrat
manhandle	špatně zacházet
manhole	průlez
manhood	mužnost
manhood	mužství
manhunt	stíhání
mania	mánie
mania	posedlost
mania	vášeň
maniac	maniak
maniac	šílenec
maniac	šílený
maniacal	šílený
manic	maniakální
manic-depressive	maniodepresivní
manicure	dělat manikúru
manicure	manikér
manicure	manikérka
manicure	manikúra
manicure	manikýra
manicure	manikýrovat
manicurist	manikér
manifest	dát najevo
manifest	manifest
manifest	projevit
manifest	zjevný
manifest	zřejmý
manifestation	projev
manifestly	zřejmě
manifesto	manifest
manifold	mnohonásobný
manifold	rozvod
manifold	varieta
manikin	mužíček
manikin	trpaslík
manila	manila
manila	manilový
manilla	konopné vlákno
manilla	konopný papír
manioc	maniok
manipulability	manipulovatelnost
manipulate	manipulovat
manipulate	zacházet
manipulate	zacházet s
manipulation	manipulace
manipulation	manipulační
manipulation	zacházení
manipulator	manipulátor
mankind	lidstvo
manlike	mužský
manliness	mužnost
manly	mužný
manna	jídlo Israelitů podle Bible
manna	jídlo Israelitů v Bibli
mannequin	manekýn
mannequin	manekýnka
manner	chování
manner	manýra
manner	styl
manner	zvyk
mannerism	manýra
mannerism	manýrismus
mannerism	osobitý způsob
mannikin	figurína
mannish	mužský
mannish	připomínající muže
manoeuvrability	manévrovatelnost
manoeuvrability	ovládatelnost
manoeuvrable	manévrovatelný
manoeuvre	manévr
manometer	manometr
manor	panské sídlo
manor	panství
manor	statek
manor	usedlost
manor	velkostatek
manorial	velkostatkářský
manpower	lidská síla
manpower	pracovní síla
manque	zmeškaná např. příležitost
mansard	mansarda
manse	fara
manservant	sluha
mansion	panské sídlo
mansion	panský dům
mansion	sídlo
mansion	zámek
mansion	zámeček
manslaughter	zabití
manta	rejnok
mantel	římsa nad krbem
mantelpiece	římsa nad krbem
mantilla	dámský hedvábný přehoz
mantis	kudlanka nábožná
mantissa	mantisa
mantle	povlak
mantlepiece	římsa nad krbem
mantra	mantra
mantrap	past např. na uprchlíky
mantrap	svůdná žena
manual	manuál
manual	manuální
manual	návod
manual	pokyny
manual	příručka
manual	příruční
manual	rukověť
manual	ruční
manually	ručně
manufactory	manufaktura
manufactory	výrobna
manufacture	manufaktura
manufacture	vyrobit
manufacture	vyrábět
manufacture	výroba
manufacture	zhotovit
manufacturer	výrobce
manumission	propuštění z otroctví
manumit	propuštění otroka
manure	hnojit
manure	hnůj
manuscript	rukopis
many	mnoho
many	mnozí
map	mapa
map	mapovat
map	plán
map	zmapovat
maple	javor
mapper	kartograf
mapping	mapující
mar	kazit
mar	ničit
marabou	marabu
maraschino	maraskino
maraschino	sladký likér
marathon	maratonský
marathon	maratón
marathoner	maratónec
marauder	záškodník
marble	kulička
marble	mramor
marble	mramorový
march	demonstrace
march	demonstrovat
march	hranice
march	hraničit
march	kráčet
march	pochod
march	pochodovat
march	tažení
marcher	pochodující osoba
marching	pochod
marching	pochodování
marching	pochodující
marchioness	markýza
marchpane	marcipán
mare	klisna
margarine	margarin
margarine	margarín
margarine	umělý tuk
margarita	koktejl margarita
marge	margarín
margin	kraj
margin	lem
margin	marže
margin	mez
margin	okraj
margin	rozpětí
