godfather	kmotr
godforsaken	Bohem opuštěný
godforsaken	pustý
godforsaken	zapomenutý
godless	bezbožný
godlessness	bezbožnost
godlike	božský
godliness	bohabojnost
godliness	zbožnost
godly	bohabojný
godly	boží
godly	zbožný
godmother	kmotra
godsend	požehnání
godson	kmotřenec
godwit	břehouš
goer	chodec
goer	odcházející osoba
goggle	třeštit
goggle	zírat
going	chodící
going	dělající
going	jdoucí
going	pokračující
going	průběh
going-over	kontrola
going-over	prohlídka
goitre	vole
gold	zlato
gold	zlatý
golden	pozlacený
golden	zlatý
goldfinch	stehlík
goldfish	zlatá rybka
goldilocks	pryskyřník zlatý
goldmine	zlatý důl
goldsmith	zlatník
golem	golem
golem	stroj oživený kouzlem
golf	golf
golf	golfový
golfer	golfista
golliwog	bubák
golliwog	strašák
gonad	gonáda
gonad	pohlavní žláza
gonadal	gonádový
gonadotrophin	gonadotropin
gondola	gondola
gondolier	gondoliér
gone	pryč
gone	ztracený
gone	šel
goner	mrtvola
gong	gong
gonococcus	gonokok
gonorrhoea	gonorea
gonorrhoea	kapavka
goo	bláto
goo	mazlavá hmota
good	blaho
good	dobro
good	dobrá
good	dobrý
good	dobře
good	důkladný
good	hezký
good	hodný
good	laskavý
good	milý
good	pohledný
good	poslušný
good	pořádný
good	pravý
good	prospěch
good	prospěšný
good	právoplatný
good	příjemný
good	slušný
good	spolehlivý
good	spořádaný
good	správně
good	užitek
good	užitečný
good	vhodný
good	výborně!
good	značný
good	čestný
good	řádný
good-bye	na shledanou
good-bye	sbohem
good-looking	hezký
good-naturedly	dobromyslně
good-naturedly	laskavě
good-naturedly	přátelsky
goodbye	nashledanou
goodbye	sbohem
goodish	poměrně dobrý
goodish	ucházející
goodly	značný
goodly	značně
goodness	dobrota
goodness	laskavost
goodwill	dobrá pověst
goodwill	dobrá vůle
goodwill	dobré jméno
goodwill	dobré jméno firmy
goodwill	důvěra
goodwill	hodnota
goodwill	přátelství
goody	cukrátko
goody	dobrota
goody	kmotra
goody	pamlsky
goody	pochoutka
goody-goody	svatoušek
gooey	lepivý
gooey	mazlavý
goof	chyba
goof	trdlo
goofy	praštěný
googly	falšovaný míček v kriketu
googol	jednička a sto nul
gook	žlutá huba
goon	blbec
goon	hulvát
goon	rváč
goose	husa
goose	husí
gooseberry	angrešt
gooseflesh	husí kůže
gooseneck	husí krk
goosey	husí
goosey	nervózní
goosey	vyděšený
goosey	vystrašený
gopher	sysel
gore	krevní sraženina
gore	krveprolití
gore	nabodnout
gore	nabrat
gore	napíchnout
gorge	hrdlo
gorge	rokle
gorge	strž
gorgeous	nádherný
gorgeous	senzační
gorgeous	skvělý
gorgeously	senzačně
gorgeously	skvěle
gorget	ozdobný límec
gorgonzola	gorgonzola
gorilla	gorila
gormless	pitomý
gorse	druh keře
gory	krvavý
goshawk	jestřáb
gospel	evangelium
gospel	slovo boží
gossamer	pavučinový
gossip	drby
gossip	klep
gossip	klepna
gossip	klepy
gossip	klevetit
gossip	klábosení
gossip	klábosit
gossip	pomluvy
gossip	povídat
gossip	povídání
gossip	tlachat
gossip	tlachy
gossip	řeči
gossipy	upovídaný
gouge	dlabat
gouge	duté dláto
gouge	napálit
gouger	podvodník
goulash	guláš
gourd	dýně
gourmand	gurmán
gourmand	znalec jídla
gourmet	labužnický
gourmet	labužník
gout	dna
gout	pakostnice
gouty	postižený dnou
govern	ovládat
govern	panovat
govern	spravovat
govern	vládnout
govern	řídit
governable	ovladatelný
governance	vládnutí
governess	guvernantka
governess	vychovatelka
governing	ovládání
governing	regulace
governing	vládnoucí
government	vláda
