overripe	přezrálý
overrule	zamítnout
overrun	obsadit
overrun	zabrat
oversea	zámořský
oversea	zámoří
oversee	dohlížet
overseer	dohlížitel
overseer	dozorce
overseer	dozorčí
oversensitive	přecitlivělý
overshadow	zastínit
overshoot	překročit
overshot	minul
overshot	překročil
overshot	přestřelil
overshot	přečerpal
oversight	přehlédnutí
oversimplification	přílišné zjednodušení
oversimplify	přílišně zjednodušovat
oversize	nadměrná velikost
oversize	nadměrný
oversize	nadnormální
overspend	příliš utrácet
overspill	přebytek
overspill	přelidnění
overspread	rozprostřít
overstate	přehánět
overstatement	nadsázka
overstatement	přehánění
overstatement	zveličování
overstay	překročit
overstep	překročit
overstrain	přepětí
overstress	přepětí
overstress	vyzdvihovat
overstretch	přetáhnout
overstrung	vystresovaný
oversupply	nadbytek
oversupply	nadprodukce
overt	otevřený
overt	veřejný
overt	zjevný
overtake	předběhnout
overtake	předhonit
overtake	předjet
overtake	předstihnout
overtax	nadměrně zatěžovat daněmi
overthrow	svrhnout
overthrow	svržení
overthrown	přemožený
overthrown	zdolaný
overtime	přesčas
overtime	přesčasový
overtire	příliš unavit
overtly	otevřeně
overtop	převyšovat
overture	předehra
overturn	překotit
overturn	převrácení
overturn	převrátit
overturn	převrátit se
overturn	zvrátit
overvaluation	nadhodnocení
overvalue	nadhodnotit
overvalue	přecenit
overview	přehled
overweight	nadměrná hmotnost
overweight	nadváha
overweight	obézní
overweight	otylý
overwhelm	přemoci
overwhelm	uchvátit
overwhelm	zaplavit
overwhelm	zdolat
overwhelm	zdrtit
overwhelming	drtivý
overwhelming	naprostý
overwhelming	ohromný
overwhelming	zdrcující
overwhelmingly	nesmírně
overwhelmingly	ohromně
overwork	přepracování
overwork	přesčas
overwrite	přepsat
overwrought	přepracovaný
overzealous	příliš horlivý
oviduct	vejcovod
ovoid	vejcovitý
ovulation	ovulace
ovum	vajíčko
owe	dlužit
owl	sova
owl	sýček
owl	výr
owlet	sovička
owlish	soví
own	vlastnit
own	vlastní
owner	držitel
owner	majitel
owner	vlastník
owner-occupier	obyvatel vlastního domu
ownership	vlastnictví
ox	tur
ox	vůl
oxbow	chomout
oxen	voli
oxen	volové
oxidant	okysličovadlo
oxidant	oxidant
oxidase	oxidáza
oxidation	oxidace
oxidative	okysličující
oxidative	oxidační
oxide	kysličník
oxide	oxid
oxidise	okysličit
oxidise	oxidovat
oxidize	okysličit
oxidize	okysličovat
oxidize	oxidovat
oximeter	oximetr
oxtail	hovězí oháňka
oxtail	oháňka
oxygen	kyslík
oxygenate	okysličit
oxygenate	okysličovat
oxygenation	okysličení
oxygenation	oxygenace
oxyhaemoglobin	oxyhemoglobin
oxymoron	oxymorón
oxytocin	oxytocin
oyster	ústřice
oystercatcher	druh ptáka
ozokerite	ozokerit
ozone	ozon
ozone	ozón
ozone	ozónový
pa	taťka
pabulum	jídlo
pace	chod
pace	chodit
pace	chůze
pace	krok
pace	kráčet
pace	rychlost
pace	tempo
pace	určovat tempo
pacemaker	kardiostimulátor
pacemaker	kdo udává krok
pacemaker	vodič
pacific	mírumilovný
pacific	pokojný
pacification	pacifikace
pacification	sjednání míru
pacification	zklidnění
pacifier	cumel
pacifier	dudlík
pacifier	šidítko
pacifism	pacifismus
pacifist	pacifista
pacifistic	pacifistický
pacify	uklidnit
pack	balit
pack	balík
pack	balíček
pack	banda
pack	dav
pack	nacpat
pack	namačkat
pack	našlapat
pack	ranec
pack	sbalit
pack	sbalit se
pack	smečka
pack	stádo
pack	svazek
pack	vak
pack	zabalit
pack	zkomprimovat
package	balení
package	balit
package	balík
package	balíček
package	kontejner
package	programový balík
package	sada
package	sada programů
package	zabalit
packaging	balení
packaging	obal výrobku
packer	balič
packer	majitel konzervárny
packet	balík
packet	balíček
packet	paket
packhorse	nákladní kůň
packhorse	soumar
packing	balení
