roadblock	zátaras
roadside	krajnice
roadside	okraj silnice
roadster	dvousedadlové otevřené auto
roadway	vozovka
roadworthiness	způsobilost k jízdě
roadworthy	způsobilý jízdy
roam	bloumat
roam	potulka
roam	potulovat se
roam	toulka
roamer	tulák
roan	grošák
roar	burácení
roar	burácet
roar	hukot
roar	hulákat
roar	hučení
roar	hřmět
roar	hřímat
roar	rachot
roar	zařvat
roar	řev
roar	řvaní
roar	řvát
roaring	burácející
roaring	hučení
roaring	povyk
roaring	řvaní
roast	opékat
roast	pečení
roast	pečený
roast	pečeně
roast	pečínka
roast	pražení
roast	pražit
roast	péci
roast	péct
roast	upražit
roast	upéci
roast	upéct
rob	okrást
rob	oloupit
rob	vykrást
rob	vyloupit
robber	loupežník
robber	lupič
robbery	loupež
robe	roucho
robe	róba
robin	drozd
robin	čermák
robin	červenka
robot	robot
robust	robustní
robust	silný
robustly	robustně
robustness	robustnost
rock	kolébat
rock	kolébat se
rock	kymácet
rock	kámen
rock	potácet se
rock	skalisko
rock	skalní
rock	skála
rock	útes
rock'n'roll	rokenrol
rock'n'roll	tančit rokenrol
rock-bottom	dno
rock-bottom	nejnižší bod
rock-bottom	nejnižší možná hodnota
rockabilly	druh rockové hudby
rockabilly	rockabilly
rocker	rocker
rockery	skalka
rocket	prudce stoupat
rocket	raketa
rocket	raketový
rocket	stoupat
rocketry	raketová technika
rockfish	ropušnice
rocky	skalnatý
rococo	rokoko
rococo	rokokový
rod	hůl
rod	lať
rod	proutek
rod	prut
rod	rákoska
rod	tyč
rod	táhlo
rod	výhonek
rodent	hlodavec
rodeo	rodeo
roe	srnka
roe	srnčí
roebuck	srnec
roentgen	rentgen
rogation	modlitba
rogue	darebák
rogue	gauner
rogue	lotr
rogue	lump
rogue	lupič
rogue	mizera
rogue	ničema
rogue	podvodník
rogue	povaleč
rogue	rošťák
rogue	tulák
roguery	darebáctví
roguery	klukovina
roguery	lumpárna
roguery	ničemnost
roguery	roštáctví
roguery	rošťárna
roguery	uličnictví
roguery	šibalství
roguish	uličnický
roguishly	šibalsky
roguishness	darebáctví
roguishness	nepoctivost
roguishness	ničemnost
roguishness	padoušství
roguishness	roštáctví
roguishness	rošťáctví
roguishness	rošťárna
roguishness	uličnictví
role	postavení
role	role
role	úloha
roleplay	hraní role
roll	cívka
roll	houska
roll	kotouč
roll	koulet
roll	koulet se
roll	kulit
roll	kutálet
roll	kutálet se
roll	motat
roll	natáčet
roll	rohlík
roll	role
roll	srolovat
roll	stočit
roll	stočit se
roll	svinout
roll	svinovat
roll	svitek
roll	valení
roll	valit
roll	valit se
roll	válcovat
roll	válec
roll	válení
roll	válet
roll	válet se
roll	závin
roll	šiška
roll	žemle
roll-on	kuličkový deodorant
rollback	redukce
roller	obvaz
roller	vál
roller	válec
roller	váleček
rolling	pohyblivý
rolling	postupný
rolling	valivý
roly-poly	boubelatý
romaine	římský salát
romance	dobrodružný
romance	milostný vztah
romance	romance
romance	romantika
romance	románek
romantic	romantický
romantic	romantik
romantically	romanticky
romanticism	romantismus
romanticism	romantičnost
romanticist	romantik
romanticize	romantizovat
romish	papežský
romp	skotačení
romp	skotačit
rondo	druh hudební formy
rood	krucifix
rood	kříž
roof	střecha
roof	zastřešit
roofer	pokrývač
roofless	nezastřešený
rooftop	střecha
rook	havran
rook	věž
rookery	hnízdiště ptáků
rookie	nováček
