patchily	skvrnitě
patchiness	skvrnitost
patchiness	záplatovanost
patchwork	mozaika
patchwork	slátanina
patchy	nespolehlivý
patchy	skvrnitý
patchy	záplatovaný
pate	temeno
patella	čéška
patent	dostat patent
patent	jasný
patent	patent
patent	patrný
patent	výsada
patent	zjevný
patent	zřejmý
patently	jasně
patently	zřejmě
pater	tatík
paternal	otcovský
paternalism	paternalismus
paternalistic	paternalistický
paternally	otcovsky
paternity	otcovství
path	cesta
path	cestička
path	pěšina
path	stezka
path	trajektorie
path	trasa
pathetic	dojemný
pathetic	patetický
pathetic	smutný
pathetic	ubohý
pathetic	úpěnlivý
pathetic	žalostný
pathetically	dojemně
pathetically	trapně
pathetically	uboze
pathfinder	pionýr
pathfinder	průkopník
pathfinder	stopař
pathless	neschůdný
pathogen	patogen
pathogenesis	patogeneze
pathogenic	choroboplodný
pathogenic	patogenní
pathological	chorobný
pathological	patologický
pathologically	chorobně
pathologically	patologicky
pathologist	patolog
pathology	patologie
pathos	dojímavost
pathos	patos
pathway	cesta
pathway	dráha
pathway	pěšina
pathway	stezka
patience	strpení
patience	trpělivost
patience	vytrvalost
patient	nemocný
patient	pacient
patient	pacientka
patient	trpělivý
patiently	trpělivě
patina	měděnka
patina	patina
patio	nádvoří
patisserie	cukrárna
patois	dialekt
patois	nářečí
patois	žargon
patriarch	patriarcha
patriarchal	patriarchální
patriarchate	patriarchát
patriarchy	patriarchát
patrician	patricij
patrician	šlechtic
patrilineal	patrilineární
patrimonial	dědický
patrimony	církevní majetek
patrimony	dědictví
patrimony	dědičný majetek
patrimony	dědičný statek
patrimony	rodinný majetek
patriot	patriot
patriot	vlastenec
patriotic	patriotický
patriotic	vlastenecký
patriotism	patriotismus
patriotism	vlastenectví
patristic	patristický
patrol	hlídka
patrol	hlídkovat
patrol	strážný
patrol	střežit
patrolman	pochůzkář
patrolman	strážník
patron	mecenáš
patron	patron
patronage	ochrana
patronage	protekce
patronage	záštita
patroness	mecenáška
patroness	sponzorka
patronise	podporovat
patronize	podporovat
patronizingly	povýšeně
patronymic	patronymický
patsy	bačkora
patsy	bábovka
patten	dřevák
patter	capat
patter	pleskat
pattern	model
pattern	obrazec
pattern	předloha
pattern	schéma
pattern	struktura
pattern	vzor
pattern	vzorec
pattern	vzorek
pattern	šablona
patty	pirožka
patty	plněné pečivo
paucity	malé množství
paucity	malý počet
paucity	nedostatek
paunch	bachor
paunch	pupek
paunchy	břichatý
pauper	chudák
pauperism	chudoba
pauperism	nouze
pause	oddech
pause	odmlka
pause	pauza
pause	pauzovat
pause	počkat
pause	přestat
pause	přestávka
pause	ustat
pause	zastavit se
pave	dláždit
pave	vydláždit
pavement	chodník
pavement	dlažba
pavilion	pavilon
pavilion	velký stan
paving	dlažba
paving	dláždění
paviour	dlaždič
paw	packa
paw	pracka
paw	tlapa
pawn	dát do zástavy
pawn	pěšec
pawn	zastavit
pawn	zástava
pawnbroker	majitel zastavárny
pawnbroker	zastavárník
pawnshop	zastavárna
pawpaw	papája
pax	polibek míru při mši
pay	doplatit
pay	mzda
pay	plat
pay	platit
pay	výplata
pay	výplatní
pay	zaplatit
payable	splatný
payable	vyplatitelný
payable	výnosný
payday	výplata
payday	výplatní den
payee	příjemce
payee	příjemce platby
payer	plátce
paying	placení
paying	vyplácející
paying	výhodný
paying	výnosný
payload	užitečné zatížení
paymaster	pokladník
payment	platba
payment	platební
payment	výplata
payment	úplata
payoff	odměna
payoff	odstupné
payoff	vyplacení
payoff	výnos
payoff	výtěžek
payola	úplatek
payroll	mzdy
payroll	výplata
